2021-09-10 14:32:50,025 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125680.2813
2021-09-10 14:32:50,025 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 10 was determined to be 125680.2813, output is 125680.28125
2021-09-10 14:32:50,025 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 126123.2945
2021-09-10 14:32:50,026 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 11 was determined to be 126123.2945, output is 126123.296875
2021-09-10 14:32:50,026 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125459.9370
2021-09-10 14:32:50,026 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 12 was determined to be 125459.9370, output is 125459.9375
2021-09-10 14:32:50,026 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125610.9471
2021-09-10 14:32:50,026 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 13 was determined to be 125610.9471, output is 125610.9453125
2021-09-10 14:32:50,026 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125781.2675
2021-09-10 14:32:50,026 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 14 was determined to be 125781.2675, output is 125781.265625
2021-09-10 14:32:50,027 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125977.3897
2021-09-10 14:32:50,027 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 15 was determined to be 125977.3897, output is 125977.390625
2021-09-10 14:32:50,027 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125699.2039
2021-09-10 14:32:50,027 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 16 was determined to be 125699.2039, output is 125699.203125
2021-09-10 14:32:50,027 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125926.7192
2021-09-10 14:32:50,027 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 17 was determined to be 125926.7192, output is 125926.71875
2021-09-10 14:32:50,027 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125277.9491
2021-09-10 14:32:50,028 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 18 was determined to be 125277.9491, output is 125277.9453125
2021-09-10 14:32:50,028 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 126104.2443
2021-09-10 14:32:50,028 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 19 was determined to be 126104.2443, output is 126104.2421875
2021-09-10 14:32:50,028 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125466.2219
2021-09-10 14:32:50,028 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 20 was determined to be 125466.2219, output is 125466.21875
2021-09-10 14:32:50,028 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125290.4831
2021-09-10 14:32:50,028 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 21 was determined to be 125290.4831, output is 125290.484375
2021-09-10 14:32:50,029 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125812.8589
2021-09-10 14:32:50,029 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 22 was determined to be 125812.8589, output is 125812.859375
2021-09-10 14:32:50,029 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125579.4568
2021-09-10 14:32:50,029 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 23 was determined to be 125579.4568, output is 125579.453125
2021-09-10 14:32:50,029 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125699.2039
