Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.4747303,0.8611,8.154,283.3920,10.8,2000.000,4.4776,2.2388
0.9594353,0.8611,8.154,284.0780,10.782,2000.000,4.4777,2.2388
1.4431422,0.8611,8.154,285.4490,10.062,2000.000,4.4778,2.2389
1.925851,0.8611,8.154,284.8520,9.804,2000.000,4.4778,2.2389
2.4085607,0.8611,8.154,284.8520,9.828,2000.000,4.4780,2.2390
2.8912708,0.8611,8.154,286.0450,9.552,2000.000,4.4781,2.2390
3.3739798,0.8611,8.154,285.3890,9.546,2000.000,4.4781,2.2391
3.8556921,0.8611,8.154,284.5540,9.612,2000.000,4.4782,2.2391
4.3394008,0.8611,8.154,285.0310,9.99,2000.000,4.4783,2.2391
4.823106,0.8611,8.154,286.3130,10.23,2000.000,4.4784,2.2392
5.3078104,0.8611,8.154,286.5510,10.2,2000.000,4.4785,2.2392
5.7915177,0.8611,8.154,286.2230,10.188,2000.000,4.4786,2.2393
6.2752242,0.8611,8.154,286.2830,10.122,2000.000,4.4787,2.2393
6.7619231,0.8611,8.154,285.0610,10.044,2000.000,4.4788,2.2394
7.2456306,0.8611,8.154,284.1070,10.104,2000.000,4.4788,2.2394
7.729337,0.8611,8.154,284.2270,10.14,2000.000,4.4790,2.2395
8.2140419,0.8611,8.154,283.8390,10.212,2000.000,4.4790,2.2395
8.6977482,0.8611,8.154,283.6010,10.374,2000.000,4.4792,2.2396
9.1804578,0.8611,8.154,284.7030,10.194,2000.000,4.4792,2.2396
9.6641647,0.8611,8.154,284.3160,9.864,2000.000,4.4793,2.2397
10.1478717,0.8611,8.154,283.0640,9.846,2000.000,4.4794,2.2397
10.6305812,0.8611,8.154,283.8090,10.056,2000.000,4.4795,2.2397
11.1142882,0.8611,8.154,286.1040,10.002,2000.000,4.4795,2.2398
11.5969978,0.8611,8.154,288.1610,9.888,2000.000,4.4796,2.2398
12.0797089,0.8611,8.154,288.5780,9.804,2000.000,4.4797,2.2398
12.562417,0.8611,8.154,287.9220,9.99,2000.000,4.4798,2.2399
13.0451266,0.8611,8.154,288.1610,10.452,2000.000,4.4799,2.2400
13.5268388,0.8611,8.154,288.1610,10.728,2000.000,4.4800,2.2400
14.0095486,0.8611,8.154,287.7130,10.644,2000.000,4.4800,2.2400
14.4932555,0.8611,8.148,285.8060,10.608,2000.000,4.4800,2.2400
14.9759656,0.8611,8.148,284.7630,10.788,2000.000,4.4801,2.2401
15.4586749,0.8611,8.148,286.0740,10.758,2000.000,4.4802,2.2401
15.9413843,0.8611,8.148,286.6700,10.614,2000.000,4.4804,2.2402
16.4260885,0.8611,8.148,286.0740,10.794,2000.000,4.4804,2.2402
16.9087982,0.8611,8.148,286.7300,10.794,2000.000,4.4805,2.2402
17.3925051,0.8611,8.148,287.3260,10.548,2000.000,4.4805,2.2403
17.8752147,0.8611,8.148,286.5810,10.464,2000.000,4.4807,2.2403
18.3579248,0.8611,8.148,285.2400,10.47,2000.000,4.4806,2.2403
18.8416313,0.8611,8.148,285.4780,10.302,2000.000,4.4808,2.2404
19.3253382,0.8611,8.148,283.8390,10.032,2000.000,4.4808,2.2404
19.8080503,0.8611,8.148,283.1540,10.446,2000.000,4.4810,2.2405
20.2907573,0.8611,8.148,285.5380,10.59,2000.000,4.4811,2.2405
20.7734675,0.8611,8.148,287.2370,10.482,2000.000,4.4812,2.2406
21.2571758,0.8611,8.148,287.7130,10.326,2000.000,4.4813,2.2407
21.7418783,0.8611,8.148,286.5210,10.134,2000.000,4.4813,2.2407
22.2245879,0.8611,8.148,286.0150,9.96,2000.000,4.4814,2.2407
22.7072986,0.8611,8.148,284.5250,9.936,2000.000,4.4813,2.2407
23.1900082,0.8611,8.148,283.5410,9.75,2000.000,4.4815,2.2407
23.6737139,0.8611,8.148,282.5280,9.66,2000.000,4.4815,2.2408
24.1554262,0.8611,8.148,281.4550,9.852,2000.000,4.4816,2.2408
24.6391332,0.8611,8.148,282.1110,9.906,2000.000,4.4817,2.2408
25.1238374,0.8611,8.148,283.1240,9.798,2000.000,4.4818,2.2409
25.606547,0.8611,8.148,284.2270,9.81,2000.000,4.4818,2.2409
26.0902539,0.8611,8.148,285.0910,10.05,2000.000,4.4819,2.2409
26.5719665,0.8611,8.148,286.6110,10.326,2000.000,4.4819,2.2410
27.0556732,0.8611,8.148,286.8790,10.098,2000.000,4.4820,2.2410
27.5433699,0.8611,8.148,286.9090,10.008,2000.000,4.4821,2.2411
28.026079,0.8611,8.148,288.1900,9.804,2000.000,4.4821,2.2411
28.5077921,0.8611,8.148,287.8620,9.672,2000.000,4.4823,2.2411
28.9905009,0.8611,8.148,288.2800,9.774,2000.000,4.4823,2.2412
29.4732106,0.8611,8.148,287.8920,9.882,2000.000,4.4824,2.2412
29.9579166,0.8611,8.148,287.0880,10.116,2000.000,4.4825,2.2413
30.4406254,0.8611,8.148,287.2660,10.38,2000.000,4.4826,2.2413
30.9243314,0.8611,8.148,287.7730,10.356,2000.000,4.4826,2.2413
31.4080384,0.8611,8.148,287.4750,10.35,2000.000,4.4828,2.2414
31.8917469,0.8611,8.148,287.9820,10.416,2000.000,4.4827,2.2414
32.3744548,0.8611,8.148,289.1740,10.164,2000.000,4.4828,2.2414
32.856167,0.8611,8.148,289.9780,9.87,2000.000,4.4829,2.2415
33.3388767,0.8611,8.148,289.2930,9.93,2000.000,4.4830,2.2415
33.821587,0.8611,8.148,288.0410,9.912,2000.000,4.4831,2.2416
34.3032986,0.8611,8.148,286.8490,9.93,2000.000,4.4832,2.2416
34.7870055,0.8611,8.148,286.9390,10.182,2000.000,4.4833,2.2417
35.2717098,0.8611,8.148,287.7430,10.224,2000.000,4.4835,2.2417
35.7554177,0.8611,8.148,287.2660,10.308,2000.000,4.4836,2.2418
36.2391237,0.8611,8.148,286.7600,10.518,2000.000,4.4837,2.2418
36.7248254,0.8611,8.148,286.3720,10.5,2000.000,4.4838,2.2419
37.2075348,0.8611,8.148,286.1040,10.5,2000.000,4.4838,2.2419
37.6922391,0.8611,8.148,286.4920,10.386,2000.000,4.4839,2.2420
38.1779419,0.8611,8.148,285.4780,10.212,2000.000,4.4840,2.2420
38.662645,0.8611,8.148,284.6140,10.272,2000.000,4.4842,2.2421
39.1443575,0.8611,8.148,284.9720,10.338,2000.000,4.4844,2.2422
39.6280642,0.8611,8.148,285.5980,10.566,2000.000,4.4846,2.2423
