Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.8289933,0.8613,8.124,380.9950,9.948,500.0000,1.8099,3.6198
1.8130035,0.8613,8.124,379.7430,9.84,500.0000,1.8099,3.6198
2.7977743,0.8613,8.124,380.7560,9.906,500.0000,1.8099,3.6198
3.7807695,0.8613,8.124,382.1270,9.996,500.0000,1.8099,3.6198
4.7660099,0.8613,8.124,380.9950,9.918,500.0000,1.8099,3.6198
5.7519065,0.8613,8.124,380.3390,9.972,500.0000,1.8099,3.6198
6.7351072,0.8613,8.124,380.6370,9.81,500.0000,1.8099,3.6198
7.7186228,0.8613,8.124,379.5640,9.954,500.0000,1.8099,3.6198
8.7011649,0.8614,8.124,380.4580,9.84,500.0000,1.8099,3.6198
9.6846264,0.8614,8.124,378.9680,9.846,500.0000,1.8099,3.6198
10.668167,0.8614,8.124,380.6970,9.858,500.0000,1.8099,3.6199
11.6522464,0.8613,8.124,379.9220,9.816,500.0000,1.8100,3.6199
12.641056,0.8613,8.124,379.5050,9.876,500.0000,1.8100,3.6200
13.6251511,0.8613,8.124,380.4580,10.044,500.0000,1.8100,3.6200
14.6101754,0.8613,8.124,380.2790,9.882,500.0000,1.8100,3.6200
15.5912199,0.8613,8.124,378.4910,9.744,500.0000,1.8100,3.6200
16.5749375,0.8613,8.124,379.3850,9.66,500.0000,1.8100,3.6200
17.5625436,0.8613,8.124,378.3720,9.828,500.0000,1.8100,3.6199
18.5468007,0.8613,8.124,378.7890,9.96,500.0000,1.8100,3.6199
19.5313927,0.8613,8.124,379.2660,9.954,500.0000,1.8100,3.6199
20.5160963,0.8614,8.124,380.6370,9.87,500.0000,1.8100,3.6199
21.4994068,0.8614,8.124,380.5180,9.66,500.0000,1.8100,3.6199
22.4844582,0.8614,8.124,380.0410,9.666,500.0000,1.8100,3.6200
23.4690299,0.8614,8.124,379.8030,9.798,500.0000,1.8100,3.6200
24.4529762,0.8614,8.124,380.0410,9.816,500.0000,1.8100,3.6200
25.4361532,0.8614,8.124,379.5050,9.942,500.0000,1.8100,3.6200
26.4205932,0.8614,8.124,380.0410,9.816,500.0000,1.8100,3.6200
27.4064024,0.8614,8.124,379.3260,9.792,500.0000,1.8100,3.6200
28.3924467,0.8614,8.124,379.0870,9.834,500.0000,1.8100,3.6200
29.3745438,0.8613,8.124,380.5780,9.906,500.0000,1.8100,3.6200
30.3586832,0.8613,8.124,381.0540,9.792,500.0000,1.8100,3.6200
31.3417684,0.8613,8.124,380.9350,9.792,500.0000,1.8100,3.6200
32.3251583,0.8613,8.124,380.0410,9.702,500.0000,1.8100,3.6200
33.3104955,0.8613,8.124,380.2790,9.756,500.0000,1.8100,3.6201
34.2940271,0.8613,8.124,380.2200,9.93,500.0000,1.8100,3.6201
35.2787683,0.8613,8.124,379.7430,9.762,500.0000,1.8100,3.6201
36.2624652,0.8613,8.124,379.5050,9.702,500.0000,1.8101,3.6201
37.2491584,0.8613,8.124,379.3260,9.834,500.0000,1.8101,3.6201
38.2325598,0.8613,8.124,379.8030,10.026,500.0000,1.8101,3.6201
39.216732,0.8613,8.124,379.5640,9.852,500.0000,1.8101,3.6201
40.2010929,0.8613,8.124,378.9090,10.008,500.0000,1.8100,3.6201
41.185628,0.8613,8.124,379.3260,9.948,500.0000,1.8100,3.6201
42.17014,0.8613,8.124,379.1470,9.852,500.0000,1.8101,3.6201
43.1541823,0.8613,8.124,379.6240,9.864,500.0000,1.8101,3.6201
44.137152,0.8614,8.124,379.6240,9.774,500.0000,1.8100,3.6201
45.122405,0.8614,8.124,380.1010,9.936,500.0000,1.8100,3.6201
46.1085073,0.8614,8.124,379.3850,10.044,500.0000,1.8101,3.6201
47.0935778,0.8613,8.124,378.9680,9.768,500.0000,1.8101,3.6202
48.0784194,0.8613,8.124,378.7890,9.87,500.0000,1.8101,3.6202
49.0611251,0.8613,8.124,380.3990,9.906,500.0000,1.8101,3.6202
50.0438932,0.8613,8.124,378.7890,9.84,500.0000,1.8101,3.6202
51.0273541,0.8613,8.124,379.9220,9.816,500.0000,1.8101,3.6202
52.0122166,0.8613,8.124,380.4580,9.864,500.0000,1.8101,3.6202
52.9956678,0.8613,8.124,380.2200,9.846,500.0000,1.8101,3.6202
53.979359,0.8613,8.124,378.6700,9.954,500.0000,1.8101,3.6202
54.9650608,0.8613,8.124,379.3850,9.774,500.0000,1.8101,3.6202
55.9508267,0.8613,8.124,378.9680,9.768,500.0000,1.8101,3.6202
56.9386861,0.8613,8.124,379.0280,9.852,500.0000,1.8101,3.6203
57.9222892,0.8613,8.124,380.2200,9.978,500.0000,1.8101,3.6202
58.9070781,0.8613,8.124,379.2660,9.864,500.0000,1.8101,3.6203
59.8914522,0.8613,8.124,380.0410,10.02,500.0000,1.8102,3.6203
60.8746423,0.8613,8.124,380.0410,10.074,500.0000,1.8102,3.6203
61.8590934,0.8613,8.124,380.0410,9.876,500.0000,1.8102,3.6203
62.8427101,0.8613,8.124,379.5640,9.906,500.0000,1.8102,3.6203
63.8291972,0.8613,8.124,379.8620,9.96,500.0000,1.8102,3.6203
64.8144823,0.8613,8.124,380.1010,9.888,500.0000,1.8101,3.6203
65.7997622,0.8613,8.124,379.6240,9.99,500.0000,1.8102,3.6203
66.7825977,0.8613,8.124,380.8760,9.924,500.0000,1.8102,3.6203
67.7654524,0.8613,8.124,380.4580,9.84,500.0000,1.8102,3.6203
68.7480947,0.8613,8.124,379.7430,9.918,500.0000,1.8101,3.6203
69.7354582,0.8613,8.124,379.5640,9.81,500.0000,1.8102,3.6203
70.718526,0.8613,8.124,380.1010,9.792,500.0000,1.8102,3.6203
71.7046866,0.8613,8.124,379.9220,9.648,500.0000,1.8102,3.6203
72.688442,0.8613,8.124,378.6700,9.624,500.0000,1.8102,3.6204
73.67466,0.8613,8.124,379.3850,9.948,500.0000,1.8102,3.6204
74.6602883,0.8613,8.124,380.3990,10.044,500.0000,1.8102,3.6204
75.642614,0.8613,8.124,381.0540,9.816,500.0000,1.8102,3.6204
76.6274534,0.8613,8.124,380.0410,9.972,500.0000,1.8102,3.6204
77.6100116,0.8614,8.13,380.0410,9.9,500.0000,1.8102,3.6204
78.5971277,0.8614,8.13,379.6830,10.068,500.0000,1.8102,3.6204
79.5811554,0.8613,8.124,380.0410,9.978,500.0000,1.8102,3.6204
80.5683116,0.8613,8.124,379.6240,9.858,500.0000,1.8102,3.6204
81.5561254,0.8613,8.124,379.8620,9.648,500.0000,1.8102,3.6204
82.5412674,0.8613,8.124,378.6110,9.792,500.0000,1.8102,3.6204
83.5265318,0.8613,8.124,379.7430,9.798,500.0000,1.8102,3.6205
84.5078655,0.8613,8.124,380.0410,9.894,500.0000,1.8102,3.6205
85.4906113,0.8613,8.124,379.9220,9.876,500.0000,1.8102,3.6205
86.4755974,0.8613,8.124,378.7890,9.882,500.0000,1.8102,3.6205
87.4618632,0.8613,8.124,379.5640,9.798,500.0000,1.8102,3.6205
88.4450377,0.8614,8.13,378.2530,9.9,500.0000,1.8102,3.6205
89.4305473,0.8614,8.13,380.3390,9.912,500.0000,1.8102,3.6205
90.4166707,0.8614,8.13,379.0870,9.84,500.0000,1.8102,3.6205
91.4010145,0.8614,8.13,379.8620,9.918,500.0000,1.8102,3.6205
92.3847479,0.8614,8.13,379.2070,9.714,500.0000,1.8103,3.6205
93.3676642,0.8614,8.13,378.3720,9.732,500.0000,1.8102,3.6205
94.3526628,0.8613,8.124,381.0540,9.696,500.0000,1.8103,3.6206
95.3341705,0.8613,8.124,380.0410,9.834,500.0000,1.8103,3.6205
96.3186255,0.8614,8.13,379.8620,9.918,500.0000,1.8103,3.6206
97.3046043,0.8614,8.13,379.7430,9.906,500.0000,1.8103,3.6206
98.2886212,0.8614,8.13,380.3390,9.936,500.0000,1.8103,3.6206
99.2711095,0.8614,8.13,379.5640,9.906,500.0000,1.8103,3.6206
100.2542024,0.8614,8.13,379.9810,9.672,500.0000,1.8103,3.6205
101.237067,0.8614,8.13,379.8620,9.726,500.0000,1.8103,3.6205
102.2191848,0.8614,8.13,379.8620,9.99,500.0000,1.8103,3.6205
103.2049657,0.8614,8.13,380.2200,9.726,500.0000,1.8103,3.6206
104.189456,0.8614,8.13,380.5780,9.894,500.0000,1.8103,3.6206
105.172714,0.8614,8.13,380.2790,9.762,500.0000,1.8103,3.6206
106.1573362,0.8614,8.13,379.5050,9.714,500.0000,1.8103,3.6206
107.1409011,0.8614,8.13,379.1470,9.822,500.0000,1.8103,3.6206
108.1268116,0.8614,8.13,379.7430,9.738,500.0000,1.8103,3.6206
109.115694,0.8614,8.13,378.9090,9.738,500.0000,1.8103,3.6207
110.1007304,0.8614,8.13,378.9680,9.846,500.0000,1.8103,3.6206
111.0841233,0.8614,8.13,380.1010,9.774,500.0000,1.8103,3.6206
112.0667809,0.8614,8.13,378.7300,9.768,500.0000,1.8103,3.6206
113.0511889,0.8614,8.13,379.3850,9.69,500.0000,1.8103,3.6206
114.0342134,0.8614,8.13,379.5050,9.672,500.0000,1.8103,3.6206
115.0161981,0.8614,8.13,379.5050,9.93,500.0000,1.8103,3.6206
115.9993205,0.8614,8.13,380.3990,9.942,500.0000,1.8103,3.6206
116.9811566,0.8614,8.13,380.8760,9.852,500.0000,1.8103,3.6207
117.967092,0.8614,8.13,380.4580,9.786,500.0000,1.8104,3.6207
118.9496556,0.8614,8.13,380.1600,9.78,500.0000,1.8104,3.6207
119.9343603,0.8614,8.13,379.9220,9.858,500.0000,1.8104,3.6207
120.9153526,0.8614,8.13,380.1600,9.9,500.0000,1.8104,3.6207
121.9008408,0.8614,8.13,379.6240,9.726,500.0000,1.8104,3.6207
122.8867216,0.8614,8.13,379.9810,9.828,500.0000,1.8104,3.6207
123.8701002,0.8614,8.13,379.3850,9.756,500.0000,1.8103,3.6207
124.8530321,0.8614,8.13,380.0410,9.822,500.0000,1.8104,3.6207
125.8357725,0.8614,8.13,378.9680,9.858,500.0000,1.8103,3.6207
126.8200228,0.8614,8.13,378.6110,9.666,500.0000,1.8103,3.6207
