Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.191488,0.8618,8.136,9.8050,102.258,Nan,NaN,Nan
0.5814453,0.8618,8.136,9.7752,97.884,Nan,NaN,Nan
0.9704049,0.8618,8.136,10.1030,97.02,Nan,NaN,Nan
1.3603641,0.8618,8.136,10.5501,96.966,Nan,NaN,Nan
1.7483272,0.8618,8.136,10.6991,96.546,Nan,NaN,Nan
2.1372869,0.8618,8.136,10.7587,93.132,Nan,NaN,Nan
2.5262467,0.8618,8.136,10.2521,92.814,Nan,NaN,Nan
2.9152066,0.8618,8.136,10.1030,92.556,Nan,NaN,Nan
3.3041662,0.8618,8.136,9.7752,92.64,Nan,NaN,Nan
3.6921302,0.8618,8.136,9.5070,96.084,Nan,NaN,Nan
4.0820874,0.8618,8.136,9.7454,102.198,Nan,NaN,Nan
4.4710473,0.8618,8.136,10.1030,102.048,Nan,NaN,Nan
4.862999,0.8618,8.136,10.1925,97.476,Nan,NaN,Nan
5.2519592,0.8618,8.136,10.0136,96.228,Nan,NaN,Nan
5.6399222,0.8618,8.136,10.3117,97.206,Nan,NaN,Nan
6.0288823,0.8618,8.136,10.1925,99.042,Nan,NaN,Nan
6.4178425,0.8618,8.136,10.0434,102.15,Nan,NaN,Nan
6.8058055,0.8618,8.136,10.0732,103.35,Nan,NaN,Nan
7.1937683,0.8618,8.136,10.1925,102.972,Nan,NaN,Nan
7.5827285,0.8618,8.136,10.4607,102.174,Nan,NaN,Nan
7.9726861,0.8618,8.136,10.9971,100.392,Nan,NaN,Nan
8.3596525,0.8618,8.136,10.8481,99.054,Nan,NaN,Nan
8.7476146,0.8618,8.136,10.2223,98.478,Nan,NaN,Nan
9.1355775,0.8618,8.136,9.9242,98.28,Nan,NaN,Nan
9.5245376,0.8618,8.136,10.0136,97.596,Nan,NaN,Nan
9.9144952,0.8618,8.136,10.1030,97.242,Nan,NaN,Nan
10.3034554,0.8618,8.136,9.8050,100.218,Nan,NaN,Nan
10.6924156,0.8618,8.136,9.4772,104.382,Nan,NaN,Nan
11.0803786,0.8618,8.136,9.3580,105.498,Nan,NaN,Nan
11.4693388,0.8618,8.136,9.3282,103.44,Nan,NaN,Nan
11.8573016,0.8618,8.136,9.1196,100.26,Nan,NaN,Nan
12.246263,0.8618,8.136,8.9706,97.86,Nan,NaN,Nan
12.6332279,0.8618,8.136,9.0600,96.858,Nan,NaN,Nan
13.0231849,0.8618,8.136,9.5666,93.99,Nan,NaN,Nan
13.4121451,0.8618,8.136,9.3878,95.088,Nan,NaN,Nan
13.8031001,0.8618,8.136,9.4474,97.818,Nan,NaN,Nan
14.1920602,0.8618,8.136,9.8050,98.826,Nan,NaN,Nan
14.5800239,0.8618,8.136,10.0732,97.32,Nan,NaN,Nan
14.9689834,0.8618,8.136,10.5501,96.936,Nan,NaN,Nan
15.3569462,0.8618,8.136,11.0865,98.106,Nan,NaN,Nan
15.7449094,0.8618,8.136,11.5038,95.19,Nan,NaN,Nan
16.1328724,0.8618,8.136,10.9375,94.98,Nan,NaN,Nan
16.5198376,0.8618,8.136,10.6395,98.382,Nan,NaN,Nan
16.9097951,0.8618,8.136,10.7289,100.89,Nan,NaN,Nan
17.2987557,0.8618,8.136,10.4309,99.846,Nan,NaN,Nan
17.6867182,0.8618,8.136,10.1030,98.652,Nan,NaN,Nan
18.0766758,0.8618,8.136,10.1627,100.986,Nan,NaN,Nan
18.4656362,0.8618,8.136,10.6395,99.978,Nan,NaN,Nan
18.8555935,0.8618,8.136,10.5799,100.476,Nan,NaN,Nan
19.2445538,0.8618,8.136,10.5799,100.71,Nan,NaN,Nan
19.6315195,0.8618,8.136,10.6991,99.888,Nan,NaN,Nan
20.0194846,0.8618,8.136,10.5203,96.834,Nan,NaN,Nan
20.4064478,0.8618,8.136,10.1925,94.992,Nan,NaN,Nan
20.7944107,0.8618,8.136,9.8348,96.63,Nan,NaN,Nan
