Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.24235,0.8619,8.136,155.9860,11.784,1000.000,1.9948,1.9948
0.7250611,0.8619,8.136,155.8070,11.718,1000.000,1.9948,1.9948
1.2087665,0.8619,8.136,155.6290,12.018,1000.000,1.9948,1.9948
1.6944683,0.8619,8.136,156.5820,11.838,1000.000,1.9948,1.9948
2.178175,0.8619,8.136,156.6720,12.036,1000.000,1.9948,1.9948
2.6598882,0.8619,8.136,156.9700,12.174,1000.000,1.9948,1.9948
3.1415997,0.8619,8.136,156.4930,11.778,1000.000,1.9948,1.9948
3.6253065,0.8619,8.136,155.0620,11.742,1000.000,1.9948,1.9948
4.1090138,0.8619,8.136,154.6450,11.82,1000.000,1.9948,1.9948
4.5927209,0.8619,8.136,155.5990,11.754,1000.000,1.9948,1.9948
5.084406,0.8619,8.136,155.5990,11.448,1000.000,1.9948,1.9948
5.5681133,0.8619,8.136,155.1520,11.388,1000.000,1.9948,1.9948
6.0518206,0.8619,8.136,155.0620,11.436,1000.000,1.9949,1.9949
6.5365241,0.8619,8.136,155.7180,11.268,1000.000,1.9948,1.9948
7.0202311,0.8619,8.136,155.2110,11.208,1000.000,1.9949,1.9949
7.5029407,0.8619,8.136,154.8240,11.058,1000.000,1.9948,1.9948
7.9866477,0.8619,8.136,154.3470,10.836,1000.000,1.9949,1.9949
8.4693576,0.8619,8.136,154.2580,11.04,1000.000,1.9949,1.9949
8.9530648,0.8619,8.136,155.0330,11.4,1000.000,1.9949,1.9949
9.4357742,0.8619,8.142,155.6880,11.634,1000.000,1.9949,1.9949
9.9194808,0.8619,8.142,155.2710,11.724,1000.000,1.9949,1.9949
10.4031878,0.8619,8.142,154.0490,11.964,1000.000,1.9949,1.9949
10.8849004,0.8619,8.142,153.8410,11.994,1000.000,1.9949,1.9949
11.3666122,0.8619,8.142,154.1090,11.862,1000.000,1.9949,1.9949
11.8503193,0.8619,8.142,154.3170,12.048,1000.000,1.9949,1.9949
12.3320336,0.8619,8.142,154.6750,12.132,1000.000,1.9949,1.9949
12.8147412,0.8619,8.142,155.6290,11.934,1000.000,1.9949,1.9949
13.2974507,0.8619,8.142,155.9860,11.454,1000.000,1.9949,1.9949
13.7801619,0.8619,8.142,154.4370,11.184,1000.000,1.9949,1.9949
14.26287,0.8619,8.142,153.6320,11.34,1000.000,1.9949,1.9949
14.7445821,0.8619,8.142,154.2880,11.31,1000.000,1.9949,1.9949
15.2272923,0.8619,8.142,154.5260,11.292,1000.000,1.9949,1.9949
15.7110004,0.8619,8.142,154.5260,11.658,1000.000,1.9949,1.9949
16.1937083,0.8619,8.142,155.4200,11.958,1000.000,1.9949,1.9949
16.6764179,0.8619,8.142,156.4040,11.868,1000.000,1.9949,1.9949
17.1601249,0.8619,8.142,156.5820,11.616,1000.000,1.9949,1.9949
17.6428348,0.8619,8.136,156.1650,11.154,1000.000,1.9949,1.9949
18.1265418,0.8619,8.136,155.2110,11.238,1000.000,1.9949,1.9949
18.6102483,0.8619,8.136,155.0330,11.232,1000.000,1.9949,1.9949
19.0919606,0.8619,8.136,155.6580,11.1,1000.000,1.9949,1.9949
19.5756692,0.8619,8.136,155.3310,11.13,1000.000,1.9949,1.9949
20.0573798,0.8619,8.136,154.3470,11.508,1000.000,1.9950,1.9950
20.539092,0.8619,8.136,153.3340,11.976,1000.000,1.9950,1.9950
21.0218016,0.8619,8.136,152.8570,12.108,1000.000,1.9950,1.9950
21.5055086,0.8619,8.136,152.9460,12.066,1000.000,1.9950,1.9950
21.9882183,0.8619,8.136,153.6320,11.94,1000.000,1.9950,1.9950
22.4719251,0.8619,8.136,153.6620,11.958,1000.000,1.9950,1.9950
22.9546347,0.8619,8.136,153.9000,12.186,1000.000,1.9950,1.9950
23.4393391,0.8619,8.136,154.3770,12.36,1000.000,1.9951,1.9951
23.9240438,0.8619,8.136,155.0030,12.018,1000.000,1.9951,1.9951
24.408748,0.8619,8.136,154.8540,11.604,1000.000,1.9951,1.9951
24.8924547,0.8619,8.136,153.8410,11.958,1000.000,1.9951,1.9951
25.3751642,0.8619,8.136,154.0790,12.324,1000.000,1.9951,1.9951
25.858871,0.8619,8.136,155.0620,11.94,1000.000,1.9951,1.9951
26.341582,0.8619,8.136,155.2110,11.61,1000.000,1.9951,1.9951
26.8232929,0.8619,8.136,155.8370,11.562,1000.000,1.9952,1.9952
27.3070008,0.8619,8.136,156.5530,11.592,1000.000,1.9952,1.9952
27.7897095,0.8619,8.136,156.3740,11.76,1000.000,1.9952,1.9952
28.2734164,0.8619,8.136,156.3740,11.718,1000.000,1.9952,1.9952
28.756126,0.8619,8.136,155.1520,11.664,1000.000,1.9952,1.9952
29.239834,0.8619,8.136,153.7210,11.778,1000.000,1.9952,1.9952
29.7235399,0.8619,8.136,153.2740,11.736,1000.000,1.9953,1.9953
30.2062495,0.8619,8.136,153.4830,11.76,1000.000,1.9953,1.9953
30.6889591,0.8619,8.136,154.5560,11.622,1000.000,1.9953,1.9953
31.1726669,0.8619,8.136,154.7640,11.19,1000.000,1.9953,1.9953
31.6553759,0.8619,8.136,153.9300,11.22,1000.000,1.9954,1.9954
32.1390826,0.8619,8.136,153.9900,11.658,1000.000,1.9954,1.9954
32.6217924,0.8619,8.136,155.0620,12.048,1000.000,1.9954,1.9954
33.1045029,0.8619,8.136,156.0460,11.88,1000.000,1.9954,1.9954
33.5872115,0.8619,8.136,155.8070,11.604,1000.000,1.9954,1.9954
34.0689237,0.8619,8.136,155.0920,11.31,1000.000,1.9955,1.9955
34.5516332,0.8619,8.136,153.9300,11.352,1000.000,1.9955,1.9955
35.0353403,0.8619,8.136,153.6320,11.646,1000.000,1.9955,1.9955
35.5190471,0.8619,8.136,154.6150,11.724,1000.000,1.9955,1.9955
36.00076,0.8619,8.136,155.2110,11.784,1000.000,1.9956,1.9956
36.4844664,0.8619,8.136,155.6880,11.7,1000.000,1.9956,1.9956
36.968175,0.8619,8.136,155.2110,11.61,1000.000,1.9956,1.9956
37.4528776,0.8619,8.136,154.9130,11.616,1000.000,1.9957,1.9957
37.9345898,0.8619,8.136,154.7640,11.544,1000.000,1.9957,1.9957
38.4172994,0.8619,8.136,154.7350,11.73,1000.000,1.9957,1.9957
38.9010072,0.8619,8.136,155.4500,11.778,1000.000,1.9958,1.9958
39.383716,0.8619,8.136,155.1520,11.706,1000.000,1.9957,1.9957
39.8654282,0.8619,8.136,155.8070,11.388,1000.000,1.9958,1.9958
40.3501325,0.8619,8.136,156.7610,11.178,1000.000,1.9958,1.9958
40.8318452,0.8619,8.136,156.3740,11.178,1000.000,1.9959,1.9959
41.3145557,0.8619,8.136,155.5090,11.016,1000.000,1.9959,1.9959
41.7982614,0.8619,8.136,154.4960,11.268,1000.000,1.9959,1.9959
42.2819708,0.8619,8.136,154.1980,11.604,1000.000,1.9959,1.9959
42.7666727,0.8619,8.136,154.4660,11.658,1000.000,1.9960,1.9960
43.2523742,0.8619,8.136,154.2280,11.664,1000.000,1.9960,1.9960
43.7350864,0.8619,8.136,153.9000,11.784,1000.000,1.9960,1.9960
44.2187907,0.8619,8.136,154.3770,11.898,1000.000,1.9961,1.9961
44.7005034,0.8619,8.136,154.4960,11.868,1000.000,1.9961,1.9961
45.1852073,0.8619,8.136,153.3040,11.694,1000.000,1.9961,1.9961
45.6679168,0.8619,8.136,152.3800,11.67,1000.000,1.9961,1.9961
46.1516245,0.8619,8.136,153.6020,11.658,1000.000,1.9962,1.9962
46.6353313,0.8619,8.136,153.5130,11.664,1000.000,1.9962,1.9962
47.120035,0.8619,8.136,152.7680,11.91,1000.000,1.9962,1.9962
47.6027446,0.8619,8.142,153.3930,11.91,1000.000,1.9962,1.9962
48.086452,0.8619,8.142,153.4830,11.772,1000.000,1.9963,1.9963
48.5681639,0.8619,8.142,153.8410,11.67,1000.000,1.9963,1.9963
49.0518707,0.8619,8.142,154.1980,11.616,1000.000,1.9963,1.9963
49.533583,0.8619,8.142,154.0190,11.394,1000.000,1.9964,1.9964
50.0152955,0.8619,8.142,154.3170,11.4,1000.000,1.9964,1.9964
50.4999997,0.8619,8.142,153.9300,11.364,1000.000,1.9964,1.9964
50.9817119,0.8619,8.142,153.8410,11.328,1000.000,1.9964,1.9964
51.4654192,0.8619,8.142,154.1980,11.346,1000.000,1.9965,1.9965
51.9481284,0.8619,8.142,154.2880,11.442,1000.000,1.9965,1.9965
52.4298411,0.8619,8.142,153.4530,11.442,1000.000,1.9966,1.9966
52.912551,0.8619,8.142,152.7380,11.4,1000.000,1.9965,1.9965
53.3972546,0.8619,8.142,153.1550,11.388,1000.000,1.9966,1.9966
53.8789668,0.8619,8.142,154.1390,11.292,1000.000,1.9966,1.9966
54.3626747,0.8619,8.142,153.9000,11.514,1000.000,1.9967,1.9967
54.8443861,0.8619,8.142,154.1390,11.514,1000.000,1.9967,1.9967
55.3270956,0.8619,8.142,154.7050,11.244,1000.000,1.9967,1.9967
55.8127992,0.8619,8.142,154.5560,11.442,1000.000,1.9968,1.9968
56.2965049,0.8619,8.142,154.6150,11.736,1000.000,1.9968,1.9968
56.7812084,0.8619,8.142,154.9130,11.574,1000.000,1.9968,1.9968
57.2639184,0.8619,8.142,154.7940,11.538,1000.000,1.9968,1.9968
57.747626,0.8619,8.142,154.1980,11.778,1000.000,1.9969,1.9969
58.231332,0.8619,8.142,153.8700,12.186,1000.000,1.9969,1.9969
58.7140415,0.8619,8.142,154.7050,12.294,1000.000,1.9970,1.9970
59.1967513,0.8619,8.142,155.9560,12.03,1000.000,1.9970,1.9970
59.6804581,0.8619,8.142,156.6720,11.736,1000.000,1.9970,1.9970
60.164165,0.8619,8.142,157.0000,11.478,1000.000,1.9970,1.9970
60.6468747,0.8619,8.142,156.2550,11.436,1000.000,1.9971,1.9971
61.1305815,0.8619,8.142,156.2250,11.574,1000.000,1.9971,1.9971
61.6142885,0.8619,8.142,156.5530,11.634,1000.000,1.9972,1.9972
62.0969981,0.8619,8.142,155.1220,11.814,1000.000,1.9972,1.9972
62.5807055,0.8619,8.142,153.7810,11.844,1000.000,1.9972,1.9972
63.0634147,0.8619,8.142,153.1550,11.742,1000.000,1.9972,1.9972
63.5481191,0.8619,8.142,153.8700,11.748,1000.000,1.9973,1.9973
64.0318258,0.8619,8.142,154.7640,11.496,1000.000,1.9973,1.9973
64.5145367,0.8619,8.142,154.1090,11.88,1000.000,1.9973,1.9973
64.9982424,0.8619,8.142,153.6020,12.216,1000.000,1.9974,1.9974
65.4799552,0.8619,8.142,153.7510,12.282,1000.000,1.9974,1.9974
