Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.211884,0.8622,8.154,289.0250,10.074,1000.000,2.8609,2.8609
0.596198,0.8622,8.154,289.5310,10.056,1000.000,2.8609,2.8609
0.9803047,0.8622,8.154,289.6510,10.074,1000.000,2.8608,2.8608
1.3640978,0.8622,8.154,289.7400,10.146,1000.000,2.8607,2.8607
1.7482577,0.8622,8.154,289.9190,10.128,1000.000,2.8607,2.8607
2.1307684,0.8622,8.154,290.2470,10.062,1000.000,2.8606,2.8606
2.5165765,0.8622,8.154,290.3960,10.032,1000.000,2.8606,2.8606
2.9015618,0.8622,8.154,290.4550,10.032,1000.000,2.8605,2.8605
3.2858965,0.8622,8.154,290.0980,9.93,1000.000,2.8606,2.8606
3.6701968,0.8622,8.154,289.4420,9.87,1000.000,2.8605,2.8605
4.05247,0.8622,8.154,289.0250,10.02,1000.000,2.8605,2.8605
4.4371924,0.8622,8.154,289.4720,10.116,1000.000,2.8605,2.8605
4.8210037,0.8622,8.154,289.6800,10.116,1000.000,2.8604,2.8604
5.2039792,0.8622,8.154,289.2630,10.092,1000.000,2.8604,2.8604
5.5889854,0.8622,8.154,288.7860,10.086,1000.000,2.8603,2.8603
5.9749211,0.8622,8.154,288.2800,10.068,1000.000,2.8603,2.8603
6.3579349,0.8622,8.154,287.8920,10.086,1000.000,2.8603,2.8603
6.7408739,0.8622,8.154,287.6840,10.134,1000.000,2.8602,2.8602
7.1239524,0.8622,8.154,287.9820,10.17,1000.000,2.8603,2.8603
7.5092475,0.8622,8.154,288.4590,10.146,1000.000,2.8601,2.8601
7.8916532,0.8622,8.154,288.7570,10.056,1000.000,2.8601,2.8601
8.2766892,0.8622,8.154,288.9650,10.002,1000.000,2.8600,2.8600
8.6618521,0.8622,8.154,288.9060,10.014,1000.000,2.8600,2.8600
9.0465139,0.8622,8.154,288.5480,10.164,1000.000,2.8600,2.8600
