Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.2548879,0.8617,8.148,552.8370,9.078,500.0000,2.4618,4.9237
0.6380363,0.8617,8.148,553.1350,9.09,500.0000,2.4619,4.9238
1.0196182,0.8617,8.148,553.0750,9.06,500.0000,2.4618,4.9237
1.403638,0.8617,8.148,553.0160,9.024,500.0000,2.4619,4.9238
1.7867508,0.8617,8.148,552.9560,8.976,500.0000,2.4619,4.9238
2.1699854,0.8617,8.148,552.7770,8.964,500.0000,2.4618,4.9237
2.5536112,0.8617,8.148,552.5980,8.982,500.0000,2.4619,4.9238
2.9355715,0.8617,8.148,552.4790,9.012,500.0000,2.4618,4.9236
3.3203353,0.8617,8.148,553.3730,9.048,500.0000,2.4619,4.9238
3.7066182,0.8617,8.148,553.7310,9.03,500.0000,2.4618,4.9237
4.0908882,0.8617,8.148,553.1940,9.042,500.0000,2.4619,4.9237
4.4728949,0.8617,8.148,552.4790,9.084,500.0000,2.4619,4.9238
4.8554954,0.8617,8.148,552.3000,9.096,500.0000,2.4618,4.9237
5.239607,0.8617,8.148,552.4790,9.084,500.0000,2.4619,4.9238
5.6255811,0.8617,8.148,552.8370,9.054,500.0000,2.4618,4.9237
6.0087989,0.8617,8.148,553.2540,9.012,500.0000,2.4619,4.9238
6.3935381,0.8617,8.148,553.5520,8.97,500.0000,2.4619,4.9237
6.7783383,0.8617,8.148,553.4920,8.976,500.0000,2.4619,4.9238
7.1623452,0.8617,8.148,553.0750,8.97,500.0000,2.4619,4.9238
7.5455538,0.8617,8.148,552.8370,8.97,500.0000,2.4619,4.9238
7.9302311,0.8617,8.148,552.7770,8.934,500.0000,2.4620,4.9239
8.3145631,0.8617,8.148,552.3000,8.916,500.0000,2.4619,4.9238
8.6985409,0.8617,8.148,552.3000,8.934,500.0000,2.4619,4.9238
9.081434,0.8617,8.148,552.4790,8.928,500.0000,2.4619,4.9239
9.4647106,0.8617,8.148,552.1810,8.934,500.0000,2.4619,4.9239
9.8501378,0.8617,8.148,551.6450,8.922,500.0000,2.4620,4.9239
10.2321898,0.8617,8.148,551.5850,8.88,500.0000,2.4619,4.9237
10.6131595,0.8617,8.148,551.8240,8.844,500.0000,2.4619,4.9238
10.9964908,0.8617,8.148,552.2410,8.886,500.0000,2.4619,4.9237
11.3788829,0.8617,8.148,552.4200,8.928,500.0000,2.4619,4.9238
11.7619781,0.8617,8.148,551.8240,8.964,500.0000,2.4619,4.9239
12.1463271,0.8617,8.148,551.2870,9.006,500.0000,2.4619,4.9238
12.5320289,0.8617,8.148,552.7770,9.012,500.0000,2.4619,4.9239
12.9151204,0.8617,8.148,553.5520,9.024,500.0000,2.4619,4.9237
13.2985249,0.8617,8.148,553.4330,9.042,500.0000,2.4619,4.9238
13.6816424,0.8617,8.148,552.8370,9.054,500.0000,2.4619,4.9237
14.0647598,0.8617,8.148,552.4200,9.048,500.0000,2.4619,4.9238
14.450003,0.8617,8.148,552.5390,9.036,500.0000,2.4619,4.9238
14.834235,0.8617,8.148,553.2540,9,500.0000,2.4618,4.9237
15.2170658,0.8617,8.148,553.2540,8.988,500.0000,2.4619,4.9238
15.601529,0.8617,8.148,553.4920,8.994,500.0000,2.4618,4.9237
15.9845505,0.8617,8.148,553.7900,9,500.0000,2.4619,4.9238
16.3693826,0.8617,8.148,554.2670,9.036,500.0000,2.4619,4.9237
16.7519317,0.8617,8.148,554.3270,9.012,500.0000,2.4619,4.9238
17.1353167,0.8617,8.148,554.3270,8.988,500.0000,2.4619,4.9238
17.5173939,0.8617,8.148,553.6710,8.97,500.0000,2.4618,4.9237
17.902867,0.8617,8.148,552.8960,8.982,500.0000,2.4619,4.9238
18.2892659,0.8617,8.148,552.7180,9.024,500.0000,2.4618,4.9237
18.6711497,0.8617,8.148,553.1940,9.036,500.0000,2.4619,4.9238
19.054431,0.8617,8.148,553.1940,9.012,500.0000,2.4619,4.9238
19.4388002,0.8617,8.148,552.5980,9.006,500.0000,2.4619,4.9238
19.8216629,0.8617,8.148,551.7640,9.006,500.0000,2.4619,4.9239
20.2046627,0.8617,8.148,551.2870,9.024,500.0000,2.4619,4.9238
20.5907334,0.8617,8.148,551.7640,9.03,500.0000,2.4620,4.9239
20.9740613,0.8617,8.148,552.7770,9.06,500.0000,2.4619,4.9238
21.3575098,0.8617,8.148,553.4920,9.06,500.0000,2.4619,4.9238
21.7413878,0.8617,8.148,553.6710,9.048,500.0000,2.4619,4.9238
22.1253759,0.8617,8.148,553.2540,9.048,500.0000,2.4619,4.9238
22.510041,0.8617,8.148,553.7310,9,500.0000,2.4620,4.9240
22.8950293,0.8617,8.148,553.0160,8.94,500.0000,2.4619,4.9238
23.2773655,0.8617,8.148,551.7040,8.91,500.0000,2.4620,4.9239
23.662555,0.8617,8.148,550.6310,9.018,500.0000,2.4619,4.9238
24.0473769,0.8617,8.148,551.2270,9.084,500.0000,2.4619,4.9239
24.430223,0.8617,8.148,552.3600,9.06,500.0000,2.4619,4.9239
24.8136412,0.8617,8.148,552.8960,9.084,500.0000,2.4619,4.9238
25.1956208,0.8617,8.148,552.2410,9.12,500.0000,2.4620,4.9239
25.5787376,0.8617,8.148,551.9430,9.168,500.0000,2.4619,4.9238
25.9628661,0.8617,8.148,552.5390,9.132,500.0000,2.4620,4.9240
26.3465322,0.8617,8.148,553.4920,9.012,500.0000,2.4619,4.9239
26.7299067,0.8617,8.148,554.2080,8.934,500.0000,2.4619,4.9239
27.1138058,0.8617,8.148,554.3270,8.958,500.0000,2.4620,4.9239
27.4985544,0.8617,8.148,554.4460,9.018,500.0000,2.4619,4.9238
27.8825786,0.8617,8.148,553.9100,9.042,500.0000,2.4620,4.9240
28.2673699,0.8617,8.148,553.1350,9.072,500.0000,2.4619,4.9238
28.6530439,0.8617,8.148,552.6580,9.084,500.0000,2.4620,4.9239
29.0359272,0.8617,8.148,552.7180,9.024,500.0000,2.4619,4.9239
29.4199888,0.8617,8.148,552.4790,9.018,500.0000,2.4619,4.9239
29.8023111,0.8617,8.148,552.1810,9.03,500.0000,2.4620,4.9240
30.186445,0.8617,8.148,552.3600,9.036,500.0000,2.4619,4.9239
30.5701814,0.8617,8.148,552.4200,9.042,500.0000,2.4620,4.9240
30.9556208,0.8617,8.148,552.4200,9.054,500.0000,2.4620,4.9239
31.3403426,0.8617,8.148,552.9560,9.054,500.0000,2.4620,4.9240
31.7234469,0.8617,8.148,553.9100,9.018,500.0000,2.4620,4.9240
32.1050994,0.8617,8.148,554.0890,9.012,500.0000,2.4620,4.9239
32.4870316,0.8617,8.148,554.2670,8.964,500.0000,2.4620,4.9240
32.8700111,0.8617,8.148,554.5650,8.922,500.0000,2.4619,4.9238
33.2561689,0.8617,8.148,554.0890,8.88,500.0000,2.4620,4.9240
33.637308,0.8617,8.148,553.3140,8.862,500.0000,2.4619,4.9239
34.0202641,0.8617,8.148,552.8960,8.886,500.0000,2.4619,4.9239
34.4011083,0.8617,8.148,553.1350,8.898,500.0000,2.4620,4.9240
34.7847215,0.8617,8.148,553.0750,8.94,500.0000,2.4619,4.9238
35.1667325,0.8617,8.148,552.0620,8.982,500.0000,2.4620,4.9240
35.5506262,0.8617,8.148,551.3470,8.964,500.0000,2.4619,4.9238
35.9343661,0.8617,8.148,551.3470,8.964,500.0000,2.4620,4.9240
36.3166904,0.8617,8.148,551.5260,8.976,500.0000,2.4620,4.9240
36.6988221,0.8617,8.148,551.7640,8.988,500.0000,2.4619,4.9239
37.0824467,0.8617,8.148,551.9430,8.994,500.0000,2.4620,4.9240
37.4685954,0.8617,8.148,552.0020,8.982,500.0000,2.4619,4.9239
37.8525238,0.8617,8.148,552.6580,8.97,500.0000,2.4620,4.9240
38.2366683,0.8618,8.148,553.2540,8.964,500.0000,2.4619,4.9239
38.6200162,0.8618,8.148,553.5520,9.006,500.0000,2.4620,4.9240
39.0030555,0.8618,8.148,553.2540,9.072,500.0000,2.4620,4.9240
39.3860932,0.8618,8.148,553.0160,9.132,500.0000,2.4620,4.9240
39.7706967,0.8618,8.148,552.5980,9.162,500.0000,2.4620,4.9240
40.153325,0.8618,8.148,552.3000,9.15,500.0000,2.4619,4.9239
40.5352258,0.8618,8.148,552.7180,9.156,500.0000,2.4620,4.9240
40.9242354,0.8618,8.148,553.0750,9.12,500.0000,2.4620,4.9240
41.3085842,0.8618,8.148,552.9560,9.054,500.0000,2.4620,4.9240
41.6913424,0.8618,8.148,552.7770,9.036,500.0000,2.4620,4.9240
42.0760542,0.8618,8.148,552.8960,9.006,500.0000,2.4620,4.9239
42.4593271,0.8618,8.148,552.7770,8.964,500.0000,2.4621,4.9241
42.8438348,0.8618,8.148,552.4200,8.928,500.0000,2.4620,4.9239
43.2272119,0.8618,8.148,552.1220,8.982,500.0000,2.4620,4.9240
43.6124251,0.8618,8.148,552.3600,8.982,500.0000,2.4620,4.9239
43.9971211,0.8618,8.148,552.5980,9.018,500.0000,2.4620,4.9239
44.3806375,0.8618,8.148,552.6580,9.048,500.0000,2.4620,4.9240
44.7644126,0.8618,8.148,552.5980,9.06,500.0000,2.4619,4.9239
45.1467352,0.8618,8.148,552.6580,9.042,500.0000,2.4620,4.9240
45.5301387,0.8618,8.148,552.4200,9.006,500.0000,2.4620,4.9239
45.913037,0.8618,8.148,552.1810,9.048,500.0000,2.4620,4.9240
46.2946925,0.8618,8.148,552.1810,9.09,500.0000,2.4620,4.9239
46.6793808,0.8618,8.148,552.5390,9.114,500.0000,2.4620,4.9239
47.0636601,0.8618,8.148,552.8370,9.102,500.0000,2.4620,4.9240
47.4476029,0.8618,8.148,552.8960,9.084,500.0000,2.4619,4.9239
47.8291747,0.8618,8.148,553.0160,9.078,500.0000,2.4620,4.9241
48.2121902,0.8618,8.148,552.7770,9.09,500.0000,2.4620,4.9240
48.5954228,0.8618,8.148,552.1220,9.09,500.0000,2.4620,4.9240
48.9804602,0.8617,8.148,551.8240,9.078,500.0000,2.4620,4.9240
49.3635517,0.8617,8.148,551.9430,8.982,500.0000,2.4620,4.9239
49.746066,0.8617,8.148,551.5850,8.964,500.0000,2.4620,4.9241
50.1300083,0.8617,8.148,551.8240,8.97,500.0000,2.4620,4.9239
50.5126792,0.8617,8.148,552.5390,8.97,500.0000,2.4620,4.9240
50.8975894,0.8617,8.148,552.7770,8.928,500.0000,2.4620,4.9240
51.2802698,0.8618,8.148,552.4790,8.952,500.0000,2.4620,4.9240
51.6678449,0.8618,8.148,552.5980,8.964,500.0000,2.4620,4.9240
52.0496005,0.8618,8.148,552.6580,8.982,500.0000,2.4620,4.9239
52.4327579,0.8618,8.148,552.5980,8.97,500.0000,2.4621,4.9241
52.8158762,0.8618,8.148,552.4790,8.94,500.0000,2.4620,4.9240
53.2026054,0.8618,8.148,552.4200,8.964,500.0000,2.4620,4.9240
53.5866095,0.8618,8.148,552.5980,8.994,500.0000,2.4620,4.9240
53.9712544,0.8618,8.148,552.6580,8.994,500.0000,2.4620,4.9239
54.3543753,0.8618,8.148,552.4200,9.018,500.0000,2.4620,4.9241
54.7373343,0.8618,8.148,552.7180,9.024,500.0000,2.4620,4.9239
55.1255024,0.8618,8.148,553.1940,8.976,500.0000,2.4620,4.9241
55.5087122,0.8618,8.148,553.3140,8.946,500.0000,2.4620,4.9240
55.8917005,0.8618,8.148,553.2540,8.994,500.0000,2.4620,4.9240
56.2755079,0.8618,8.148,553.2540,9.012,500.0000,2.4620,4.9240
56.6626233,0.8618,8.148,553.6120,8.97,500.0000,2.4620,4.9239
57.0464778,0.8618,8.148,554.0890,8.94,500.0000,2.4620,4.9240
57.4308019,0.8618,8.148,553.9690,8.946,500.0000,2.4620,4.9239
57.8126038,0.8618,8.148,552.9560,8.97,500.0000,2.4620,4.9240
58.1945026,0.8618,8.148,552.4790,9.072,500.0000,2.4620,4.9239
58.5860471,0.8618,8.148,552.6580,9.096,500.0000,2.4620,4.9240
58.9704812,0.8618,8.148,553.4330,9.024,500.0000,2.4620,4.9240
59.3542369,0.8618,8.148,553.2540,9.006,500.0000,2.4620,4.9239
59.7410507,0.8618,8.148,553.5520,9.018,500.0000,2.4620,4.9240
60.125045,0.8618,8.148,553.5520,9.048,500.0000,2.4620,4.9239
60.5085414,0.8618,8.148,553.0160,9.066,500.0000,2.4620,4.9240
60.8926575,0.8618,8.148,552.7770,9.066,500.0000,2.4620,4.9240
61.2768546,0.8618,8.148,553.1350,8.994,500.0000,2.4620,4.9240
61.6603644,0.8618,8.148,553.0750,8.988,500.0000,2.4620,4.9240
62.0465869,0.8618,8.148,553.1940,8.988,500.0000,2.4620,4.9239
