Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.0508628,0.8621,8.154,716.4520,9.012,1000.000,3.5640,3.5640
0.5345703,0.8621,8.154,717.8820,8.928,1000.000,3.5641,3.5641
1.0172804,0.8621,8.154,717.1670,8.958,1000.000,3.5641,3.5641
1.4999896,0.8621,8.154,714.7830,9.108,1000.000,3.5640,3.5640
1.9836967,0.8621,8.154,713.1140,9.12,1000.000,3.5641,3.5641
2.4654107,0.8621,8.154,713.1140,9.162,1000.000,3.5641,3.5641
2.9491164,0.8621,8.154,713.9480,9.096,1000.000,3.5641,3.5641
3.4338209,0.8621,8.154,715.2590,9.03,1000.000,3.5642,3.5642
3.9165307,0.8621,8.154,716.3320,8.964,1000.000,3.5642,3.5642
4.4002396,0.8621,8.154,715.9750,8.964,1000.000,3.5642,3.5642
4.8829478,0.8621,8.154,716.9280,9.12,1000.000,3.5642,3.5642
5.3656582,0.8621,8.154,717.5240,9.024,1000.000,3.5642,3.5642
5.8493649,0.8621,8.154,715.3790,8.97,1000.000,3.5642,3.5642
6.333072,0.8621,8.154,715.7360,9.06,1000.000,3.5642,3.5642
6.8157819,0.8621,8.154,717.4050,9.03,1000.000,3.5643,3.5643
7.2994891,0.8621,8.154,716.5710,9.018,1000.000,3.5642,3.5642
7.7821989,0.8621,8.154,715.9750,8.976,1000.000,3.5643,3.5643
8.2649088,0.8621,8.154,714.5440,8.964,1000.000,3.5643,3.5643
8.7476186,0.8621,8.154,713.3520,8.856,1000.000,3.5643,3.5643
9.2303285,0.8621,8.154,713.4710,8.844,1000.000,3.5643,3.5643
9.7130383,0.8621,8.154,715.1400,8.874,1000.000,3.5643,3.5643
10.1947529,0.8621,8.154,716.3320,8.736,1000.000,3.5644,3.5644
10.6774607,0.8621,8.154,717.0480,8.79,1000.000,3.5644,3.5644
11.1601705,0.8621,8.154,716.8090,8.862,1000.000,3.5644,3.5644
11.6428804,0.8621,8.154,715.8560,8.892,1000.000,3.5644,3.5644
12.1255918,0.8621,8.154,716.8090,8.994,1000.000,3.5645,3.5645
12.6092974,0.8621,8.154,717.4050,9.018,1000.000,3.5644,3.5644
13.09101,0.8621,8.154,716.9280,8.922,1000.000,3.5645,3.5645
13.5737198,0.8621,8.154,715.7360,8.934,1000.000,3.5644,3.5644
14.0564308,0.8621,8.154,716.6900,9.042,1000.000,3.5645,3.5645
14.5381421,0.8621,8.154,718.0010,9.144,1000.000,3.5645,3.5645
15.0208519,0.8621,8.154,717.6440,9.168,1000.000,3.5645,3.5645
15.5045603,0.8621,8.154,717.6440,9.036,1000.000,3.5645,3.5645
15.9862717,0.8621,8.154,716.5710,8.958,1000.000,3.5646,3.5646
16.4709778,0.8621,8.154,716.4520,8.994,1000.000,3.5646,3.5646
16.953686,0.8621,8.154,716.6900,9.066,1000.000,3.5646,3.5646
17.4363958,0.8621,8.154,715.7360,9.162,1000.000,3.5646,3.5646
17.920104,0.8621,8.154,715.6170,9.18,1000.000,3.5646,3.5646
18.401816,0.8621,8.154,714.7830,9.018,1000.000,3.5646,3.5646
18.8855228,0.8621,8.154,713.9480,8.982,1000.000,3.5646,3.5646
19.3682326,0.8621,8.154,713.7100,9.054,1000.000,3.5647,3.5647
19.8499451,0.8621,8.154,714.1870,8.994,1000.000,3.5646,3.5646
20.3336522,0.8621,8.154,714.3060,9.066,1000.000,3.5647,3.5647
20.8163621,0.8621,8.154,714.3060,9.12,1000.000,3.5647,3.5647
21.3000693,0.8621,8.154,713.1140,9.03,1000.000,3.5647,3.5647
21.7827791,0.8621,8.154,713.4710,9.09,1000.000,3.5647,3.5647
22.2644917,0.8621,8.154,716.6900,9.054,1000.000,3.5648,3.5648
22.7472015,0.8621,8.154,718.0010,9.06,1000.000,3.5647,3.5647
23.228914,0.8621,8.154,718.4780,9.138,1000.000,3.5647,3.5647
23.7146159,0.8621,8.154,717.7630,9.108,1000.000,3.5647,3.5647
24.1973262,0.8621,8.154,717.0480,9.174,1000.000,3.5647,3.5647
24.6800356,0.8621,8.154,717.5240,9.156,1000.000,3.5648,3.5648
25.1637443,0.8621,8.154,717.0480,9.168,1000.000,3.5648,3.5648
25.6454552,0.8621,8.154,717.5240,9.234,1000.000,3.5649,3.5649
26.1291634,0.8621,8.154,717.8820,9.252,1000.000,3.5648,3.5648
26.6128702,0.8621,8.154,717.1670,9.132,1000.000,3.5649,3.5649
27.0965769,0.8621,8.154,716.6900,8.994,1000.000,3.5649,3.5649
27.5782895,0.8621,8.154,717.1670,8.976,1000.000,3.5649,3.5649
28.0619976,0.8621,8.154,717.7630,8.856,1000.000,3.5649,3.5649
28.5447065,0.8621,8.154,716.6900,8.772,1000.000,3.5649,3.5649
29.0264188,0.8621,8.154,715.9750,8.772,1000.000,3.5649,3.5649
29.5091287,0.8621,8.154,715.8560,8.802,1000.000,3.5649,3.5649
29.9918387,0.8621,8.154,715.8560,8.808,1000.000,3.5649,3.5649
30.4745486,0.8621,8.154,715.3790,8.778,1000.000,3.5650,3.5650
30.958256,0.8621,8.154,714.0670,8.856,1000.000,3.5650,3.5650
31.4399681,0.8621,8.154,715.2590,8.892,1000.000,3.5650,3.5650
31.9226778,0.8621,8.154,716.8090,8.79,1000.000,3.5650,3.5650
32.4063867,0.8621,8.154,715.7360,8.796,1000.000,3.5650,3.5650
32.8880976,0.8621,8.154,715.3790,8.898,1000.000,3.5651,3.5651
33.371805,0.8621,8.154,716.8090,8.85,1000.000,3.5650,3.5650
33.8565099,0.8621,8.154,716.6900,8.766,1000.000,3.5651,3.5651
34.3382225,0.8621,8.154,716.6900,8.802,1000.000,3.5651,3.5651
34.8209317,0.8621,8.154,717.2860,8.778,1000.000,3.5651,3.5651
35.3056362,0.8621,8.154,716.2130,8.664,1000.000,3.5651,3.5651
35.7893459,0.8621,8.154,714.6630,8.76,1000.000,3.5651,3.5651
36.273051,0.8621,8.154,716.2130,8.754,1000.000,3.5651,3.5651
36.7557604,0.8621,8.154,715.7360,8.532,1000.000,3.5652,3.5652
37.2384702,0.8621,8.154,715.0210,8.49,1000.000,3.5651,3.5651
37.7221792,0.8621,8.154,715.8560,8.496,1000.000,3.5652,3.5652
38.2058845,0.8621,8.154,715.4980,8.592,1000.000,3.5652,3.5652
38.6885944,0.8621,8.154,715.6170,8.772,1000.000,3.5652,3.5652
39.1713043,0.8621,8.154,715.6170,8.85,1000.000,3.5652,3.5652
39.6540143,0.8621,8.154,715.3790,8.886,1000.000,3.5652,3.5652
40.1367252,0.8621,8.154,715.8560,8.946,1000.000,3.5652,3.5652
40.6184381,0.8621,8.154,716.8090,8.868,1000.000,3.5652,3.5652
41.1011464,0.8621,8.154,715.0210,8.826,1000.000,3.5652,3.5652
41.583857,0.8621,8.154,713.1140,8.964,1000.000,3.5652,3.5652
42.0655694,0.8621,8.154,715.9750,9.012,1000.000,3.5653,3.5653
42.5492759,0.8621,8.154,719.1930,8.856,1000.000,3.5652,3.5652
43.0319857,0.8621,8.154,718.2400,8.736,1000.000,3.5653,3.5653
43.5146955,0.8621,8.154,717.0480,8.802,1000.000,3.5652,3.5652
43.9984033,0.8621,8.154,717.2860,8.862,1000.000,3.5653,3.5653
44.4811126,0.8621,8.154,715.9750,8.94,1000.000,3.5653,3.5653
44.9638224,0.8621,8.154,716.8090,9.096,1000.000,3.5653,3.5653
45.4465323,0.8621,8.154,718.2400,9.072,1000.000,3.5653,3.5653
45.9292426,0.8621,8.154,718.5970,8.952,1000.000,3.5653,3.5653
46.4119525,0.8622,8.154,718.3590,8.94,1000.000,3.5653,3.5653
46.8936645,0.8622,8.154,717.5240,8.94,1000.000,3.5653,3.5653
47.3763748,0.8622,8.154,717.2860,8.934,1000.000,3.5653,3.5653
47.8600855,0.8622,8.154,716.5710,8.976,1000.000,3.5653,3.5653
48.3417949,0.8622,8.154,717.1670,9.168,1000.000,3.5654,3.5654
48.8245039,0.8622,8.154,717.4050,9.234,1000.000,3.5653,3.5653
49.3092084,0.8622,8.154,716.8090,9.198,1000.000,3.5654,3.5654
49.790921,0.8622,8.154,716.3320,9.09,1000.000,3.5653,3.5653
50.2736309,0.8622,8.154,714.6630,9.126,1000.000,3.5654,3.5654
50.7573381,0.8622,8.154,716.4520,9.204,1000.000,3.5654,3.5654
51.240048,0.8622,8.154,717.6440,9.102,1000.000,3.5654,3.5654
51.7227576,0.8622,8.154,717.5240,9.09,1000.000,3.5654,3.5654
52.2054674,0.8622,8.154,718.7170,8.982,1000.000,3.5655,3.5655
52.6871802,0.8622,8.154,717.8820,8.85,1000.000,3.5654,3.5654
53.1698898,0.8622,8.154,715.2590,8.802,1000.000,3.5654,3.5654
53.653597,0.8622,8.154,715.0210,8.706,1000.000,3.5655,3.5655
54.1383029,0.8622,8.154,714.9020,8.676,1000.000,3.5655,3.5655
54.6220087,0.8622,8.154,715.3790,8.814,1000.000,3.5655,3.5655
55.1047186,0.8622,8.154,718.0010,8.88,1000.000,3.5655,3.5655
55.587429,0.8622,8.154,718.9550,8.91,1000.000,3.5655,3.5655
56.0701383,0.8622,8.154,718.7170,8.862,1000.000,3.5655,3.5655
56.5528481,0.8622,8.154,718.5970,8.784,1000.000,3.5655,3.5655
57.0355579,0.8622,8.154,717.7630,8.712,1000.000,3.5655,3.5655
57.5182678,0.8622,8.154,717.0480,8.826,1000.000,3.5656,3.5656
58.0009776,0.8622,8.154,718.2400,8.994,1000.000,3.5656,3.5656
58.4856821,0.8622,8.154,719.1930,8.976,1000.000,3.5656,3.5656
58.9693893,0.8622,8.154,718.8360,8.964,1000.000,3.5656,3.5656
59.4511018,0.8622,8.154,718.7170,9.06,1000.000,3.5657,3.5657
59.9348091,0.8622,8.154,718.4780,9.138,1000.000,3.5656,3.5656
60.416522,0.8622,8.154,717.4050,9.174,1000.000,3.5657,3.5657
60.9002287,0.8622,8.154,717.7630,9.15,1000.000,3.5657,3.5657
61.3839371,0.8622,8.154,719.0740,9.12,1000.000,3.5657,3.5657
61.8656498,0.8622,8.154,720.7430,9,1000.000,3.5657,3.5657
62.3483588,0.8622,8.154,719.5510,8.874,1000.000,3.5657,3.5657
62.8300707,0.8622,8.154,715.9750,8.91,1000.000,3.5657,3.5657
63.3117832,0.8622,8.154,715.3790,8.916,1000.000,3.5657,3.5657
63.7954907,0.8622,8.154,715.6170,8.898,1000.000,3.5657,3.5657
64.277203,0.8622,8.154,714.9020,8.976,1000.000,3.5657,3.5657
64.7589155,0.8622,8.154,713.5910,9.15,1000.000,3.5657,3.5657
65.2426227,0.8622,8.154,713.5910,9.138,1000.000,3.5657,3.5657
65.725333,0.8622,8.154,715.0210,8.994,1000.000,3.5657,3.5657
66.2070451,0.8622,8.154,717.2860,8.79,1000.000,3.5657,3.5657
66.6907537,0.8622,8.154,718.1200,8.658,1000.000,3.5657,3.5657
67.1744594,0.8622,8.154,717.0480,8.694,1000.000,3.5657,3.5657
67.6571693,0.8622,8.154,717.1670,8.748,1000.000,3.5658,3.5658
68.1388818,0.8622,8.154,717.4050,8.694,1000.000,3.5658,3.5658
68.6215915,0.8622,8.154,716.8090,8.646,1000.000,3.5658,3.5658
