Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.1862989,0.8622,8.118,11.2430,99.468,Nan,NaN,Nan
0.5761181,0.8622,8.118,10.8854,99.198,Nan,NaN,Nan
0.96522,0.8622,8.118,10.5501,98.466,Nan,NaN,Nan
1.354398,0.8622,8.118,10.3564,99.078,Nan,NaN,Nan
1.7414084,0.8622,8.118,10.2297,99.144,Nan,NaN,Nan
2.1304615,0.8622,8.118,10.1850,97.662,Nan,NaN,Nan
2.5186491,0.8622,8.118,10.2893,96.036,Nan,NaN,Nan
2.9086298,0.8622,8.118,10.5426,98.994,Nan,NaN,Nan
3.2987195,0.8622,8.118,11.0344,98.79,Nan,NaN,Nan
3.6875299,0.8622,8.118,10.9450,99.258,Nan,NaN,Nan
4.0766378,0.8622,8.118,11.2653,97.866,Nan,NaN,Nan
4.4642433,0.8622,8.118,11.1610,97.782,Nan,NaN,Nan
4.854603,0.8622,8.118,11.1312,100.704,Nan,NaN,Nan
5.2432439,0.8622,8.118,11.3026,104.022,Nan,NaN,Nan
5.6338925,0.8622,8.118,11.3175,103.734,Nan,NaN,Nan
6.0225771,0.8622,8.118,11.2802,99.996,Nan,NaN,Nan
6.4124138,0.8622,8.118,10.5352,101.838,Nan,NaN,Nan
6.7999599,0.8622,8.118,10.8630,101.208,Nan,NaN,Nan
7.1905755,0.8622,8.118,10.6618,101.058,Nan,NaN,Nan
7.5810814,0.8622,8.118,10.5799,101.76,Nan,NaN,Nan
7.9693554,0.8622,8.118,10.6171,101.004,Nan,NaN,Nan
8.3607926,0.8622,8.118,10.4681,100.578,Nan,NaN,Nan
8.750272,0.8622,8.118,10.2595,98.382,Nan,NaN,Nan
9.1396741,0.8622,8.118,10.1552,98.904,Nan,NaN,Nan
9.5298347,0.8622,8.118,10.5128,99.216,Nan,NaN,Nan
9.9195203,0.8622,8.118,10.4234,100.38,Nan,NaN,Nan
10.3094898,0.8622,8.118,10.1627,101.268,Nan,NaN,Nan
10.7003892,0.8622,8.118,10.1477,101.886,Nan,NaN,Nan
11.0908871,0.8622,8.118,10.6171,103.62,Nan,NaN,Nan
11.4796451,0.8622,8.118,11.3771,101.058,Nan,NaN,Nan
11.8708203,0.8622,8.118,11.2057,101.358,Nan,NaN,Nan
12.2602305,0.8622,8.118,11.3398,100.128,Nan,NaN,Nan
12.6503354,0.8622,8.118,11.3175,99.546,Nan,NaN,Nan
13.0412198,0.8622,8.118,11.2877,99.264,Nan,NaN,Nan
13.431625,0.8622,8.118,11.2728,99.618,Nan,NaN,Nan
13.8219765,0.8622,8.118,11.1089,100.086,Nan,NaN,Nan
14.21059,0.8622,8.118,11.2206,97.446,Nan,NaN,Nan
14.6002613,0.8622,8.118,11.1908,97.308,Nan,NaN,Nan
14.9893926,0.8622,8.118,11.3398,95.028,Nan,NaN,Nan
15.3801932,0.8622,8.118,10.8705,95.412,Nan,NaN,Nan
15.7690403,0.8622,8.118,10.7959,98.082,Nan,NaN,Nan
16.1605478,0.8622,8.118,10.8183,100.038,Nan,NaN,Nan
16.5514076,0.8622,8.118,10.9524,100.254,Nan,NaN,Nan
16.9426574,0.8622,8.118,11.5038,96.96,Nan,NaN,Nan
17.3342056,0.8622,8.118,11.1461,97.188,Nan,NaN,Nan
17.7227774,0.8622,8.118,10.5575,97.572,Nan,NaN,Nan
18.1133945,0.8622,8.118,9.8795,98.964,Nan,NaN,Nan
18.5004358,0.8622,8.118,9.7231,100.488,Nan,NaN,Nan
18.8900192,0.8622,8.118,9.6411,100.626,Nan,NaN,Nan
19.2827501,0.8622,8.118,10.0062,102.426,Nan,NaN,Nan
19.6732426,0.8622,8.118,10.3787,103.806,Nan,NaN,Nan
20.0633823,0.8622,8.118,10.4234,105.642,Nan,NaN,Nan
20.4536596,0.8622,8.118,10.9077,100.326,Nan,NaN,Nan
20.8436147,0.8622,8.118,10.1850,95.742,Nan,NaN,Nan
21.233573,0.8622,8.118,9.7678,94.206,Nan,NaN,Nan
21.6240647,0.8622,8.118,9.9689,94.578,Nan,NaN,Nan
22.0131651,0.8622,8.118,10.2297,94.83,Nan,NaN,Nan
22.4043157,0.8622,8.118,10.5426,91.896,Nan,NaN,Nan
22.7941865,0.8622,8.118,10.1328,94.404,Nan,NaN,Nan
23.1861895,0.8622,8.118,10.3862,96.618,Nan,NaN,Nan
23.5743472,0.8622,8.118,10.1776,99.054,Nan,NaN,Nan
23.9652249,0.8622,8.118,9.9466,101.262,Nan,NaN,Nan
24.3561992,0.8622,8.118,9.5294,101.232,Nan,NaN,Nan
24.746419,0.8622,8.118,9.5592,101.628,Nan,NaN,Nan
25.1344487,0.8622,8.118,9.8050,99.498,Nan,NaN,Nan
25.5251799,0.8622,8.118,9.6560,102.54,Nan,NaN,Nan
25.9169692,0.8622,8.118,10.5203,103.44,Nan,NaN,Nan
26.3067728,0.8622,8.118,11.1089,101.43,Nan,NaN,Nan
26.6963488,0.8622,8.118,11.4069,98.13,Nan,NaN,Nan
27.0844284,0.8622,8.118,11.0642,93.672,Nan,NaN,Nan
27.4739991,0.8622,8.118,10.7363,94.968,Nan,NaN,Nan
27.8643927,0.8622,8.118,10.6171,97.26,Nan,NaN,Nan
28.2563224,0.8622,8.118,10.6991,98.034,Nan,NaN,Nan
28.6451419,0.8622,8.118,10.6618,100.434,Nan,NaN,Nan
29.0354418,0.8622,8.118,10.8034,102.036,Nan,NaN,Nan
29.5400147,0.8622,8.118,109.2190,-136.626,Nan,NaN,Nan
29.9303657,0.8622,8.118,109.2190,113.952,Nan,NaN,Nan
30.3219292,0.8621,8.118,109.2190,-16.806,Nan,NaN,Nan
30.7125012,0.8621,8.118,109.2190,-16.392,Nan,NaN,Nan
31.1014451,0.8621,8.118,109.2190,-15.834,Nan,NaN,Nan
31.491597,0.8621,8.118,109.2190,-14.97,Nan,NaN,Nan
31.8795538,0.8621,8.118,109.2190,-13.872,Nan,NaN,Nan
32.2692973,0.8621,8.118,109.2190,-12.084,Nan,NaN,Nan
32.6646039,0.8621,8.118,72.0252,-9.396,Nan,NaN,Nan
33.0553276,0.8621,8.118,47.5312,-4.212,Nan,NaN,Nan
33.4465494,0.8621,8.118,31.5050,2.628,Nan,NaN,Nan
33.8372293,0.8621,8.118,20.6382,13.242,Nan,NaN,Nan
34.2263551,0.8621,8.118,14.2605,29.844,Nan,NaN,Nan
34.6164165,0.8621,8.118,11.4442,48.996,Nan,NaN,Nan
35.0110282,0.8621,8.118,10.6395,63.522,Nan,NaN,Nan
35.4053421,0.8621,8.118,10.4011,74.088,Nan,NaN,Nan
35.7946535,0.8621,8.118,10.4681,84.096,Nan,NaN,Nan
36.185694,0.8621,8.118,10.5762,90.744,Nan,NaN,Nan
36.5761375,0.8621,8.118,10.4793,93.87,Nan,NaN,Nan
36.965226,0.8621,8.118,10.4868,92.472,Nan,NaN,Nan
37.3571986,0.8621,8.118,10.0136,95.928,Nan,NaN,Nan
37.7463094,0.8621,8.118,10.4309,95.052,Nan,NaN,Nan
38.1355785,0.8621,8.118,10.4607,94.116,Nan,NaN,Nan
38.5240854,0.8621,8.118,10.3675,96.054,Nan,NaN,Nan
38.9123268,0.8621,8.118,10.2968,99.126,Nan,NaN,Nan
39.3023387,0.8621,8.118,10.2148,99.174,Nan,NaN,Nan
39.6925469,0.8621,8.118,10.2409,94.032,Nan,NaN,Nan
40.0828628,0.8621,8.118,9.8758,95.988,Nan,NaN,Nan
40.4734002,0.8621,8.118,10.0248,97.548,Nan,NaN,Nan
40.8633635,0.8621,8.118,9.4325,98.286,Nan,NaN,Nan
41.2518444,0.8621,8.118,9.2202,98.874,Nan,NaN,Nan
41.6404042,0.8621,8.118,9.4586,99.696,Nan,NaN,Nan
42.0292622,0.8621,8.118,9.8646,100.398,Nan,NaN,Nan
42.4183127,0.8621,8.118,10.1664,97.86,Nan,NaN,Nan
42.8101519,0.8621,8.118,9.9801,97.872,Nan,NaN,Nan
43.2016781,0.8621,8.118,10.0658,97.854,Nan,NaN,Nan
43.5925683,0.8621,8.118,10.0360,99.702,Nan,NaN,Nan
43.9836593,0.8621,8.118,10.3154,100.284,Nan,NaN,Nan
44.3727058,0.8621,8.118,10.4420,98.712,Nan,NaN,Nan
44.7628165,0.8621,8.118,10.5724,98.538,Nan,NaN,Nan
45.1502119,0.8621,8.118,10.6507,99.762,Nan,NaN,Nan
45.5407119,0.8621,8.118,10.6134,101.364,Nan,NaN,Nan
45.9302567,0.8621,8.118,10.8891,97.482,Nan,NaN,Nan
46.3195641,0.8621,8.118,10.1440,95.112,Nan,NaN,Nan
46.7073836,0.8621,8.118,9.4586,98.55,Nan,NaN,Nan
47.0964416,0.8621,8.118,9.6672,100.872,Nan,NaN,Nan
47.4851747,0.8621,8.118,10.0099,98.82,Nan,NaN,Nan
47.8748284,0.8621,8.118,10.1366,93.894,Nan,NaN,Nan
48.2664349,0.8621,8.118,9.6970,95.136,Nan,NaN,Nan
48.6548426,0.8621,8.118,10.2446,96.036,Nan,NaN,Nan
49.0442564,0.8621,8.118,10.7661,97.302,Nan,NaN,Nan
49.4335311,0.8621,8.118,10.8965,97.164,Nan,NaN,Nan
49.8242706,0.8621,8.118,10.5985,97.608,Nan,NaN,Nan
50.212874,0.8621,8.118,10.4979,100.362,Nan,NaN,Nan
50.6031253,0.8621,8.118,10.7252,103.452,Nan,NaN,Nan
50.9951444,0.8621,8.118,10.8779,105.498,Nan,NaN,Nan
51.3853877,0.8621,8.118,11.4926,100.908,Nan,NaN,Nan
51.7743656,0.8621,8.118,10.8593,100.224,Nan,NaN,Nan
52.1641245,0.8621,8.118,10.9003,103.71,Nan,NaN,Nan
52.5555694,0.8621,8.118,11.3398,104.67,Nan,NaN,Nan
52.9506295,0.8621,8.118,11.3659,101.796,Nan,NaN,Nan
53.3370488,0.8621,8.118,11.2206,97.29,Nan,NaN,Nan
53.7245828,0.8621,8.118,10.4644,98.034,Nan,NaN,Nan
54.113873,0.8621,8.118,10.0844,97.992,Nan,NaN,Nan
54.5024715,0.8621,8.118,10.0025,98.268,Nan,NaN,Nan
54.8948605,0.8621,8.118,10.4979,99.69,Nan,NaN,Nan
55.2834449,0.8621,8.118,10.6767,99.414,Nan,NaN,Nan
55.6745702,0.8621,8.118,10.5426,99.36,Nan,NaN,Nan
56.064209,0.8621,8.118,10.7252,99.078,Nan,NaN,Nan
56.4544259,0.8621,8.118,10.9077,99.06,Nan,NaN,Nan
56.8432644,0.8621,8.118,11.0791,98.112,Nan,NaN,Nan
57.2325761,0.8621,8.118,10.5315,98.856,Nan,NaN,Nan
57.6232155,0.8621,8.118,10.4644,98.838,Nan,NaN,Nan
58.0143743,0.8621,8.118,10.0658,98.274,Nan,NaN,Nan
58.403294,0.8621,8.118,9.7790,99.81,Nan,NaN,Nan
58.7918599,0.8621,8.118,9.8162,100.434,Nan,NaN,Nan
59.1802352,0.8621,8.118,10.3713,99.78,Nan,NaN,Nan
59.5691837,0.8621,8.118,11.3138,96.342,Nan,NaN,Nan
59.9587175,0.8621,8.118,11.5298,95.07,Nan,NaN,Nan
60.3497485,0.8621,8.118,11.4367,95.466,Nan,NaN,Nan
60.7378655,0.8621,8.118,11.1163,95.922,Nan,NaN,Nan
61.1282226,0.8621,8.118,10.9189,96.18,690.0000,0,0
61.5162446,0.8621,8.118,10.8071,94.554,690.0000,0,0
61.903304,0.8621,8.118,10.4383,97.932,690.0000,0,0
62.2925528,0.8621,8.118,10.7550,98.4,690.0000,0,0
62.8515357,0.8621,8.118,11.0530,96.444,1000.000,3.5282,3.5282
63.3365343,0.8621,8.118,29.7279,33.336,1000.000,3.5291,3.5291
63.8198325,0.8621,8.118,47.5871,8.376,1000.000,3.5291,3.5291
64.3058228,0.8621,8.118,39.6969,4.392,1000.000,3.5294,3.5294
64.7894216,0.8621,8.118,36.6049,12.24,1000.000,3.5292,3.5292
65.2743968,0.8621,8.118,34.1351,13.596,1000.000,3.5294,3.5294
65.7591076,0.8621,8.118,36.5826,14.538,1000.000,3.5293,3.5293
66.2441235,0.8621,8.118,34.5821,18.876,1000.000,3.5293,3.5293
66.7282411,0.8621,8.118,33.1851,22.62,1000.000,3.5290,3.5290
67.2133639,0.8621,8.118,30.7264,19.692,1000.000,3.5293,3.5293
67.6994842,0.8621,8.118,27.1463,17.178,1000.000,3.5294,3.5294
68.1851343,0.8621,8.118,27.0755,19.296,1000.000,3.5291,3.5291
68.6688064,0.8621,8.118,31.0394,23.328,1000.000,3.5294,3.5294
69.1522829,0.8621,8.118,32.7902,28.578,1000.000,3.5291,3.5291
69.6377312,0.8621,8.118,32.5928,32.112,1000.000,3.5286,3.5286
70.121021,0.8621,8.124,31.2852,30.948,1000.000,3.5290,3.5290
70.6057672,0.8621,8.124,30.9835,28.53,1000.000,3.5291,3.5291
71.0910488,0.8621,8.124,30.3016,23.262,1000.000,3.5290,3.5290
71.5745922,0.8621,8.124,29.1058,23.298,1000.000,3.5288,3.5288
72.0568785,0.8621,8.124,32.5667,27.75,1000.000,3.5290,3.5290
72.5405405,0.8621,8.124,36.6385,27.012,1000.000,3.5288,3.5288
73.0278966,0.8621,8.124,34.6939,25.494,1000.000,3.5287,3.5287
73.5109805,0.8621,8.124,31.2480,24.276,1000.000,3.5287,3.5287
73.9952614,0.8621,8.124,27.5784,23.844,1000.000,3.5290,3.5290
74.479459,0.8621,8.124,26.5018,27.696,1000.000,3.5288,3.5288
74.9644918,0.8621,8.124,28.8115,29.898,1000.000,3.5285,3.5285
75.4500305,0.8621,8.124,30.9946,25.17,1000.000,3.5288,3.5288
75.939429,0.8621,8.124,30.6929,28.026,1000.000,3.5287,3.5287
76.4227926,0.8621,8.124,32.0303,32.43,1000.000,3.5282,3.5282
76.906431,0.8621,8.124,33.8855,31.368,1000.000,3.5286,3.5286
77.390455,0.8621,8.124,32.8051,31.536,1000.000,3.5287,3.5287
77.8746378,0.8621,8.124,30.8382,33.336,1000.000,3.5286,3.5286
78.3604125,0.8621,8.124,30.0707,33.996,1000.000,3.5288,3.5288
78.8441686,0.8621,8.124,28.6849,34.128,1000.000,3.5289,3.5289
79.3283877,0.8621,8.124,28.3459,31.992,1000.000,3.5290,3.5290
79.8149974,0.8621,8.124,28.3198,26.856,1000.000,3.5289,3.5289
80.2986725,0.8621,8.118,27.1836,28.362,1000.000,3.5289,3.5289
80.7835805,0.8621,8.118,28.0255,31.806,1000.000,3.5287,3.5287
81.2700159,0.8621,8.118,28.6588,32.586,1000.000,3.5288,3.5288
81.754058,0.8621,8.118,30.7488,31.05,1000.000,3.5289,3.5289
82.2403061,0.8620,8.118,32.0191,25.59,1000.000,3.5285,3.5285
82.7250135,0.8620,8.118,31.6577,23.922,1000.000,3.5287,3.5287
83.2126324,0.8621,8.118,30.2010,21.138,1000.000,3.5289,3.5289
83.6997281,0.8621,8.124,28.6476,14.586,1000.000,3.5288,3.5288
84.1844922,0.8621,8.118,27.7684,17.832,1000.000,3.5287,3.5287
84.6689076,0.8621,8.124,28.6215,22.146,1000.000,3.5288,3.5288
85.1524356,0.8621,8.124,31.0319,28.764,1000.000,3.5284,3.5284
85.6383459,0.8621,8.124,32.7418,28.674,1000.000,3.5288,3.5288
86.1216525,0.8621,8.124,31.0133,26.85,1000.000,3.5293,3.5293
86.6064938,0.8621,8.124,31.1437,28.254,1000.000,3.5291,3.5291
87.0898881,0.8621,8.124,33.7886,27.804,1000.000,3.5285,3.5285
87.573742,0.8621,8.124,33.4906,26.658,1000.000,3.5287,3.5287
88.0569362,0.8621,8.124,30.7376,27.39,1000.000,3.5287,3.5287
88.5409938,0.8621,8.124,29.4038,27.51,1000.000,3.5291,3.5291
89.0263984,0.8621,8.124,30.0334,22.182,1000.000,3.5293,3.5293
89.513881,0.8621,8.124,28.2564,23.592,1000.000,3.5289,3.5289
89.9987944,0.8621,8.124,26.5540,25.824,1000.000,3.5289,3.5289
90.4843007,0.8621,8.124,26.3156,28.062,1000.000,3.5288,3.5288
90.969241,0.8621,8.124,27.0383,30.366,1000.000,3.5288,3.5288
91.4561626,0.8621,8.124,27.6716,25.752,1000.000,3.5287,3.5287
91.9412584,0.8621,8.124,29.0648,25.896,1000.000,3.5288,3.5288
92.4247434,0.8621,8.124,30.9723,30.15,1000.000,3.5288,3.5288
92.9077476,0.8621,8.124,30.4506,33.264,1000.000,3.5290,3.5290
93.3895833,0.8621,8.124,30.4842,36.894,1000.000,3.5290,3.5290
93.8731098,0.8621,8.124,30.0446,36.618,1000.000,3.5288,3.5288
94.3590443,0.8621,8.124,29.7019,33.564,1000.000,3.5289,3.5289
94.8449256,0.8621,8.124,28.0888,33.96,1000.000,3.5287,3.5287
95.3314571,0.8621,8.124,29.6609,36.738,1000.000,3.5289,3.5289
