Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.530829,0.8624,8.16,411.4530,9.282,500.0000,2.2736,4.5472
1.5141301,0.8624,8.16,410.2610,9.306,500.0000,2.2736,4.5472
2.4970243,0.8624,8.16,411.2140,9.252,500.0000,2.2736,4.5472
3.4802989,0.8624,8.16,410.9760,9.348,500.0000,2.2736,4.5472
4.4638693,0.8624,8.16,410.2010,9.456,500.0000,2.2736,4.5472
5.4476548,0.8624,8.16,410.9760,9.558,500.0000,2.2736,4.5472
6.4311063,0.8624,8.16,412.0490,9.552,500.0000,2.2736,4.5472
7.4148449,0.8624,8.16,412.1680,9.39,500.0000,2.2736,4.5473
8.3980995,0.8624,8.16,412.3470,9.414,500.0000,2.2736,4.5473
9.3800525,0.8624,8.16,411.7510,9.276,500.0000,2.2736,4.5472
10.3639233,0.8624,8.16,412.3470,9.198,500.0000,2.2736,4.5472
11.3476058,0.8624,8.16,412.2870,9.348,500.0000,2.2736,4.5473
12.3333535,0.8624,8.16,410.9160,9.438,500.0000,2.2736,4.5472
13.3171568,0.8624,8.16,412.2870,9.282,500.0000,2.2736,4.5472
14.3014832,0.8624,8.16,412.8830,9.318,500.0000,2.2736,4.5471
15.2860782,0.8624,8.16,412.8240,9.432,500.0000,2.2735,4.5471
16.2716224,0.8624,8.16,411.4530,9.27,500.0000,2.2736,4.5472
17.254968,0.8624,8.16,412.1080,9.306,500.0000,2.2736,4.5472
18.2381499,0.8624,8.16,412.4060,9.27,500.0000,2.2736,4.5473
19.2190347,0.8624,8.16,411.2740,9.402,500.0000,2.2737,4.5473
20.204207,0.8624,8.16,410.0220,9.522,500.0000,2.2737,4.5473
21.1863313,0.8624,8.16,411.5120,9.438,500.0000,2.2737,4.5473
22.1681393,0.8624,8.16,412.4060,9.438,500.0000,2.2737,4.5473
23.1514049,0.8624,8.16,410.9160,9.3,500.0000,2.2737,4.5473
24.1346261,0.8624,8.16,411.5720,9.438,500.0000,2.2737,4.5473
25.1204432,0.8624,8.16,412.3470,9.42,500.0000,2.2737,4.5473
26.1037515,0.8624,8.16,412.4060,9.384,500.0000,2.2737,4.5474
27.0876887,0.8624,8.16,411.4530,9.348,500.0000,2.2737,4.5474
28.0700395,0.8624,8.16,412.7640,9.384,500.0000,2.2737,4.5473
29.0530402,0.8624,8.16,412.7640,9.3,500.0000,2.2736,4.5473
30.0384249,0.8624,8.16,412.4660,9.282,500.0000,2.2737,4.5473
31.0277501,0.8624,8.16,413.2410,9.342,500.0000,2.2736,4.5473
32.0239887,0.8624,8.16,413.0020,9.534,500.0000,2.2736,4.5473
33.0213432,0.8624,8.16,412.7040,9.348,500.0000,2.2737,4.5473
34.003442,0.8624,8.16,411.9300,9.294,500.0000,2.2737,4.5473
34.9907117,0.8624,8.16,411.5720,9.498,500.0000,2.2737,4.5474
35.9747514,0.8624,8.16,412.4060,9.402,500.0000,2.2737,4.5474
36.957314,0.8624,8.16,413.0020,9.546,500.0000,2.2737,4.5474
37.9400651,0.8624,8.16,413.1810,9.372,500.0000,2.2737,4.5474
38.9227526,0.8624,8.16,412.4660,9.42,500.0000,2.2736,4.5473
39.9048973,0.8624,8.16,412.0490,9.468,500.0000,2.2736,4.5473
40.8932483,0.8624,8.16,412.7040,9.306,500.0000,2.2736,4.5472
41.8759869,0.8624,8.16,411.6910,9.264,500.0000,2.2736,4.5472
42.8586363,0.8624,8.16,412.4660,9.3,500.0000,2.2736,4.5472
43.8423622,0.8624,8.16,411.8700,9.42,500.0000,2.2736,4.5472
44.8333646,0.8624,8.16,412.1080,9.36,500.0000,2.2736,4.5473
45.822297,0.8624,8.16,412.5260,9.258,500.0000,2.2736,4.5473
46.8062858,0.8624,8.16,411.4530,9.258,500.0000,2.2736,4.5473
