Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.1546686,0.8614,8.148,280.1730,10.206,1000.000,2.4648,2.4648
0.6380469,0.8614,8.148,279.8160,10.26,1000.000,2.4649,2.4649
1.1227009,0.8614,8.148,279.5480,10.332,1000.000,2.4650,2.4650
1.6090064,0.8614,8.148,279.7560,10.314,1000.000,2.4651,2.4651
2.0956565,0.8614,8.148,280.0540,10.218,1000.000,2.4652,2.4652
2.5804515,0.8614,8.148,279.3090,10.242,1000.000,2.4654,2.4654
3.0660314,0.8614,8.148,279.0710,10.368,1000.000,2.4654,2.4654
3.5510286,0.8614,8.148,279.7560,10.326,1000.000,2.4656,2.4656
4.0347556,0.8614,8.148,279.1300,10.32,1000.000,2.4656,2.4656
4.5188666,0.8614,8.148,278.0580,10.404,1000.000,2.4658,2.4658
5.0050647,0.8614,8.148,277.7890,10.422,1000.000,2.4658,2.4658
5.4880551,0.8614,8.148,278.0870,10.29,1000.000,2.4660,2.4660
5.9778465,0.8614,8.148,278.0580,10.038,1000.000,2.4661,2.4661
6.4607378,0.8614,8.148,277.6100,10.074,1000.000,2.4662,2.4662
6.9445429,0.8614,8.148,277.7000,10.338,1000.000,2.4663,2.4663
7.4304411,0.8614,8.148,278.0280,10.512,1000.000,2.4664,2.4664
7.9138957,0.8614,8.148,277.7600,10.716,1000.000,2.4665,2.4665
8.3994321,0.8614,8.148,277.6400,10.578,1000.000,2.4666,2.4666
8.8840653,0.8614,8.148,277.5810,10.338,1000.000,2.4667,2.4667
9.3697223,0.8614,8.148,278.6240,10.248,1000.000,2.4668,2.4668
9.8522799,0.8614,8.148,279.7260,10.218,1000.000,2.4669,2.4669
10.3382036,0.8614,8.148,280.2330,10.248,1000.000,2.4669,2.4669
10.8239277,0.8614,8.148,279.9350,10.266,1000.000,2.4671,2.4671
11.3087863,0.8614,8.148,279.9650,10.29,1000.000,2.4671,2.4671
11.7948045,0.8614,8.148,279.8750,10.218,1000.000,2.4673,2.4673
12.2790101,0.8614,8.148,278.8620,10.284,1000.000,2.4673,2.4673
12.7652159,0.8614,8.148,278.4750,10.35,1000.000,2.4674,2.4674
13.2502861,0.8614,8.148,278.4150,10.398,1000.000,2.4675,2.4675
13.7349063,0.8614,8.148,278.6830,10.332,1000.000,2.4676,2.4676
14.2221075,0.8614,8.148,278.4450,10.152,1000.000,2.4677,2.4677
14.7080119,0.8614,8.148,278.0280,10.422,1000.000,2.4678,2.4678
15.1915015,0.8615,8.148,278.5050,10.446,1000.000,2.4679,2.4679
15.6756668,0.8615,8.148,278.9810,10.428,1000.000,2.4679,2.4679
16.1614586,0.8615,8.148,279.1600,10.35,1000.000,2.4681,2.4681
16.6458703,0.8615,8.154,278.8030,10.182,1000.000,2.4681,2.4681
17.1309148,0.8615,8.154,279.5180,10.08,1000.000,2.4683,2.4683
17.6174327,0.8615,8.154,280.0540,10.002,1000.000,2.4683,2.4683
18.1010968,0.8615,8.154,279.0710,10.122,1000.000,2.4684,2.4684
18.5883529,0.8615,8.154,277.6700,10.338,1000.000,2.4684,2.4684
19.0735859,0.8615,8.154,278.0280,10.26,1000.000,2.4686,2.4686
19.5606024,0.8615,8.148,278.5340,10.116,1000.000,2.4686,2.4686
20.0460485,0.8615,8.154,278.7430,10.23,1000.000,2.4687,2.4687
20.5328073,0.8615,8.154,279.1600,10.254,1000.000,2.4688,2.4688
21.0180334,0.8615,8.154,279.2500,10.254,1000.000,2.4688,2.4688
21.5029215,0.8615,8.154,279.2500,10.224,1000.000,2.4689,2.4689
21.9870697,0.8615,8.154,278.5640,10.248,1000.000,2.4689,2.4689
22.4720953,0.8615,8.154,278.2070,10.362,1000.000,2.4690,2.4690
22.9547417,0.8615,8.154,278.6830,10.254,1000.000,2.4690,2.4690
23.4367915,0.8615,8.154,278.8920,10.11,1000.000,2.4692,2.4692
23.9245608,0.8615,8.154,278.9520,10.2,1000.000,2.4692,2.4692
24.4101655,0.8615,8.154,278.8320,10.314,1000.000,2.4694,2.4694
24.8928506,0.8615,8.154,278.6240,10.266,1000.000,2.4694,2.4694
25.3800548,0.8615,8.154,278.4450,10.254,1000.000,2.4695,2.4695
25.8641464,0.8615,8.154,278.8920,10.182,1000.000,2.4695,2.4695
26.3488861,0.8615,8.154,279.2500,10.218,1000.000,2.4696,2.4696
26.8342234,0.8615,8.154,279.3090,10.29,1000.000,2.4697,2.4697
27.3178983,0.8615,8.154,279.2500,10.386,1000.000,2.4698,2.4698
27.8011747,0.8615,8.154,279.4880,10.314,1000.000,2.4698,2.4698
28.2844679,0.8615,8.154,278.5050,10.212,1000.000,2.4699,2.4699
28.7698424,0.8615,8.154,277.7890,10.362,1000.000,2.4699,2.4699
29.2528259,0.8615,8.154,279.2500,10.26,1000.000,2.4700,2.4700
29.7374699,0.8615,8.154,279.9650,10.17,1000.000,2.4701,2.4701
30.2203024,0.8615,8.154,279.9050,10.284,1000.000,2.4701,2.4701
30.7041129,0.8615,8.154,280.2330,10.116,1000.000,2.4702,2.4702
31.187308,0.8615,8.154,279.9950,9.99,1000.000,2.4702,2.4702
31.6701101,0.8615,8.154,280.0240,10.17,1000.000,2.4704,2.4704
32.155682,0.8615,8.154,280.4420,10.32,1000.000,2.4703,2.4703
32.6411622,0.8615,8.154,279.7560,10.404,1000.000,2.4705,2.4705
33.1268735,0.8615,8.154,279.6370,10.47,1000.000,2.4704,2.4704
33.6099648,0.8615,8.154,279.6370,10.458,1000.000,2.4706,2.4706
