Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.1914873,0.8623,8.118,10.7289,94.452,Nan,NaN,Nan
0.5814446,0.8623,8.118,9.7454,97.914,Nan,NaN,Nan
0.9714024,0.8623,8.118,10.7587,100.446,Nan,NaN,Nan
1.3613597,0.8623,8.118,10.7885,102.234,Nan,NaN,Nan
1.7523146,0.8623,8.118,10.9375,104.586,Nan,NaN,Nan
2.1422721,0.8623,8.118,10.5799,103.968,Nan,NaN,Nan
2.5332289,0.8623,8.118,10.4309,107.076,Nan,NaN,Nan
2.923186,0.8623,8.118,10.9077,102.558,Nan,NaN,Nan
3.3141402,0.8623,8.118,10.4309,102.378,Nan,NaN,Nan
3.7040971,0.8623,8.118,10.9673,98.268,Nan,NaN,Nan
4.0940545,0.8624,8.112,10.4011,95.934,Nan,NaN,Nan
4.4840121,0.8624,8.112,10.4309,97.026,Nan,NaN,Nan
4.8739697,0.8624,8.112,10.3117,95.82,Nan,NaN,Nan
5.2639272,0.8624,8.112,10.1627,99.294,Nan,NaN,Nan
5.6518901,0.8624,8.112,10.7587,92.832,Nan,NaN,Nan
6.039853,0.8623,8.118,9.5964,95.238,Nan,NaN,Nan
6.4278158,0.8623,8.118,10.0434,97.548,Nan,NaN,Nan
6.8167762,0.8623,8.118,10.3117,98.262,Nan,NaN,Nan
7.2037417,0.8623,8.118,10.5501,97.926,Nan,NaN,Nan
7.5927018,0.8623,8.118,10.3713,92.628,Nan,NaN,Nan
7.9806648,0.8623,8.118,9.7752,95.334,Nan,NaN,Nan
8.3686277,0.8623,8.118,9.9540,95.67,Nan,NaN,Nan
8.7575879,0.8623,8.118,9.0600,99.564,Nan,NaN,Nan
9.1455507,0.8623,8.118,9.4474,98.586,Nan,NaN,Nan
9.5335137,0.8623,8.118,9.2686,100.686,Nan,NaN,Nan
9.9214766,0.8623,8.118,9.9540,105.762,Nan,NaN,Nan
10.3104367,0.8623,8.118,9.8944,102.114,Nan,NaN,Nan
10.7003948,0.8623,8.118,9.6858,101.484,Nan,NaN,Nan
11.0913504,0.8623,8.118,9.8944,100.296,Nan,NaN,Nan
11.4813068,0.8623,8.118,9.2090,105.96,Nan,NaN,Nan
11.8722622,0.8623,8.118,9.8646,104.622,Nan,NaN,Nan
12.2622192,0.8623,8.118,9.6262,102.594,Nan,NaN,Nan
12.653174,0.8623,8.118,10.0434,101.88,Nan,NaN,Nan
13.0421343,0.8623,8.118,10.1627,97.674,Nan,NaN,Nan
13.4310951,0.8623,8.118,10.0136,99.846,Nan,NaN,Nan
13.8200547,0.8623,8.118,10.6693,96.21,Nan,NaN,Nan
14.2100123,0.8623,8.118,10.0434,97.998,Nan,NaN,Nan
14.5989724,0.8623,8.118,10.1030,99.084,Nan,NaN,Nan
14.9899273,0.8623,8.118,9.3282,101.454,Nan,NaN,Nan
15.3818796,0.8623,8.118,9.3580,103.842,Nan,NaN,Nan
15.7718372,0.8623,8.118,9.5964,100.464,Nan,NaN,Nan
16.1607978,0.8623,8.118,9.7454,102.78,Nan,NaN,Nan
16.5507554,0.8623,8.118,10.1925,102.036,Nan,NaN,Nan
16.9397152,0.8623,8.118,9.7752,104.46,Nan,NaN,Nan
17.3296727,0.8623,8.118,10.2223,100.704,Nan,NaN,Nan
