Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.077791,0.8611,8.154,12.5990,103.878,Nan,NaN,Nan
0.4677485,0.8611,8.154,12.1259,103.11,Nan,NaN,Nan
0.8557113,0.8611,8.154,11.6677,103.638,Nan,NaN,Nan
1.2436743,0.8611,8.154,11.5261,103.128,Nan,NaN,Nan
1.6316372,0.8611,8.154,11.7645,98.28,Nan,NaN,Nan
2.0205973,0.8611,8.154,10.7736,98.97,Nan,NaN,Nan
2.4075629,0.8611,8.154,10.7773,99.06,Nan,NaN,Nan
2.7945301,0.8611,8.154,10.9114,97.56,Nan,NaN,Nan
3.1824913,0.8611,8.154,10.9524,97.002,Nan,NaN,Nan
3.5714532,0.8611,8.154,11.0269,100.242,Nan,NaN,Nan
3.9584172,0.8611,8.154,11.1759,93.42,Nan,NaN,Nan
4.3483747,0.8611,8.154,9.7119,93.288,Nan,NaN,Nan
4.7363376,0.8611,8.154,10.1105,97.428,Nan,NaN,Nan
5.1243005,0.8611,8.154,12.0439,98.322,Nan,NaN,Nan
5.5132606,0.8611,8.154,12.7182,97.14,Nan,NaN,Nan
5.9012236,0.8611,8.154,12.9194,98.706,Nan,NaN,Nan
6.2911811,0.8611,8.154,13.1466,101.562,Nan,NaN,Nan
6.679144,0.8611,8.154,13.3888,99.954,Nan,NaN,Nan
7.0691033,0.8611,8.154,12.8002,98.832,Nan,NaN,Nan
7.4570645,0.8611,8.154,12.2041,99.84,Nan,NaN,Nan
7.8460257,0.8611,8.154,12.3382,99.936,Nan,NaN,Nan
8.2329907,0.8611,8.154,12.0924,97.95,Nan,NaN,Nan
8.6209531,0.8611,8.154,11.9135,97.602,Nan,NaN,Nan
9.0079186,0.8611,8.154,11.9508,97.71,Nan,NaN,Nan
9.3958815,0.8611,8.154,11.9806,97.308,Nan,NaN,Nan
9.7848418,0.8611,8.154,11.5708,100.968,Nan,NaN,Nan
10.1728046,0.8611,8.154,12.2525,101.43,Nan,NaN,Nan
10.5617649,0.8611,8.154,12.5692,97.698,Nan,NaN,Nan
10.9497278,0.8611,8.154,12.1594,95.088,Nan,NaN,Nan
11.3386894,0.8611,8.154,11.7496,96.702,Nan,NaN,Nan
11.7276482,0.8611,8.154,11.9322,100.902,Nan,NaN,Nan
12.1176067,0.8611,8.154,12.7368,97.614,Nan,NaN,Nan
12.5055686,0.8611,8.154,12.3643,94.956,Nan,NaN,Nan
12.8965245,0.8611,8.154,11.7273,95.232,Nan,NaN,Nan
13.2854839,0.8611,8.154,11.3361,98.208,Nan,NaN,Nan
13.6754426,0.8611,8.154,11.3100,100.446,Nan,NaN,Nan
14.0653989,0.8611,8.154,11.5559,101.61,Nan,NaN,Nan
14.4553594,0.8611,8.154,11.6453,102.378,Nan,NaN,Nan
14.845314,0.8611,8.154,11.5075,102.33,Nan,NaN,Nan
15.2352729,0.8611,8.154,11.4963,101.076,Nan,NaN,Nan
15.6252291,0.8611,8.154,11.1312,101.016,Nan,NaN,Nan
16.0161848,0.8611,8.154,11.2877,102.282,Nan,NaN,Nan
16.4071388,0.8611,8.154,11.2095,101.958,Nan,NaN,Nan
16.7970973,0.8611,8.154,11.3845,102.402,Nan,NaN,Nan
17.1870544,0.8611,8.154,11.8577,100.89,Nan,NaN,Nan
17.5760151,0.8611,8.148,12.2861,100.446,Nan,NaN,Nan
17.9649744,0.8611,8.148,12.7629,100.626,Nan,NaN,Nan
18.3549332,0.8611,8.148,12.7517,100.692,Nan,NaN,Nan
18.7448895,0.8611,8.148,12.7294,101.652,Nan,NaN,Nan
19.1348472,0.8611,8.148,13.1243,101.97,Nan,NaN,Nan
19.5238072,0.8610,8.148,12.7927,100.704,Nan,NaN,Nan
19.9127697,0.8610,8.148,11.8726,104.016,Nan,NaN,Nan
20.3007304,0.8610,8.148,11.3436,102.84,Nan,NaN,Nan
20.6886932,0.8610,8.148,10.8518,97.128,Nan,NaN,Nan
21.0756592,0.8610,8.148,10.1664,95.484,Nan,NaN,Nan
21.4636217,0.8610,8.148,10.6916,98.082,Nan,NaN,Nan
21.8525823,0.8610,8.148,11.3100,99.324,Nan,NaN,Nan
22.2425394,0.8610,8.148,11.4143,98.022,Nan,NaN,Nan
22.6305035,0.8610,8.148,11.0530,96.534,Nan,NaN,Nan
23.0194628,0.8610,8.148,10.8481,96.132,Nan,NaN,Nan
23.4074255,0.8610,8.148,10.9152,98.364,Nan,NaN,Nan
23.7953884,0.8610,8.148,11.3249,98.124,Nan,NaN,Nan
24.1833511,0.8610,8.148,10.8407,96.402,Nan,NaN,Nan
24.5723114,0.8610,8.148,10.3228,97.302,Nan,NaN,Nan
24.9612717,0.8610,8.148,10.3228,101.298,Nan,NaN,Nan
25.3512291,0.8610,8.148,10.8593,104.16,Nan,NaN,Nan
25.7401894,0.8610,8.148,11.5969,104.244,Nan,NaN,Nan
26.1301481,0.8610,8.148,12.0327,104.958,Nan,NaN,Nan
26.5191072,0.8610,8.148,12.4127,107.754,Nan,NaN,Nan
26.9100621,0.8610,8.148,13.6309,108.612,Nan,NaN,Nan
27.3000196,0.8610,8.148,13.8917,106.44,Nan,NaN,Nan
27.6899771,0.8610,8.148,13.5787,104.364,Nan,NaN,Nan
28.0779411,0.8610,8.148,13.2733,101.958,Nan,NaN,Nan
28.4688951,0.8610,8.148,13.2584,99.414,Nan,NaN,Nan
28.8578558,0.8610,8.148,13.0758,97.488,Nan,NaN,Nan
29.245818,0.8610,8.148,12.5506,96.696,Nan,NaN,Nan
29.6327836,0.8610,8.148,12.1073,97.86,Nan,NaN,Nan
30.0207466,0.8610,8.148,12.1371,99.48,Nan,NaN,Nan
30.407712,0.8610,8.148,11.7906,96.87,Nan,NaN,Nan
30.7956749,0.8610,8.148,11.5932,99.018,Nan,NaN,Nan
31.1836377,0.8610,8.148,12.7107,93.984,Nan,NaN,Nan
31.5725998,0.8610,8.148,12.0290,89.466,Nan,NaN,Nan
31.9615583,0.8610,8.148,10.0844,90.156,Nan,NaN,Nan
32.3515157,0.8610,8.148,9.7529,95.622,Nan,NaN,Nan
32.7394791,0.8610,8.148,9.9093,97.764,Nan,NaN,Nan
33.1294364,0.8610,8.148,10.4681,100.674,Nan,NaN,Nan
33.5183965,0.8610,8.148,11.5783,95.19,Nan,NaN,Nan
33.9063593,0.8610,8.148,11.2728,95.856,Nan,NaN,Nan
34.2953196,0.8610,8.148,10.2819,106.5,Nan,NaN,Nan
34.6852771,0.8610,8.148,11.3287,111.174,Nan,NaN,Nan
35.0752353,0.8610,8.148,12.2227,107.304,Nan,NaN,Nan
35.4691817,0.8610,8.148,11.6192,100.944,Nan,NaN,Nan
35.8601364,0.8610,8.148,10.8481,100.59,Nan,NaN,Nan
36.250094,0.8610,8.148,10.9785,96.24,Nan,NaN,Nan
36.6400518,0.8610,8.148,10.9859,94.884,Nan,NaN,Nan
37.0290119,0.8610,8.148,11.0418,96.744,Nan,NaN,Nan
37.4169746,0.8610,8.148,11.9657,96.81,Nan,NaN,Nan
37.8059348,0.8610,8.148,11.7869,96,Nan,NaN,Nan
38.1929004,0.8610,8.148,11.7086,97.056,Nan,NaN,Nan
38.5808633,0.8610,8.148,11.9061,95.388,Nan,NaN,Nan
38.9698237,0.8610,8.148,11.9545,93.468,Nan,NaN,Nan
39.3577863,0.8610,8.148,11.3287,96.426,Nan,NaN,Nan
39.7467471,0.8610,8.148,11.1499,100.572,Nan,NaN,Nan
40.1347096,0.8610,8.148,11.6602,102.27,Nan,NaN,Nan
40.5226723,0.8610,8.148,12.0924,102.192,Nan,NaN,Nan
40.9116326,0.8610,8.148,12.1482,101.292,Nan,NaN,Nan
41.3015902,0.8610,8.148,12.0216,101.01,Nan,NaN,Nan
41.6905503,0.8610,8.148,11.7832,98.778,Nan,NaN,Nan
42.0795106,0.8610,8.148,11.7683,97.704,Nan,NaN,Nan
42.4704655,0.8610,8.148,11.8204,100.344,Nan,NaN,Nan
42.8594257,0.8610,8.148,11.8428,102.648,Nan,NaN,Nan
43.2493833,0.8610,8.148,11.6006,102.708,Nan,NaN,Nan
43.6383435,0.8610,8.148,11.5224,100.782,Nan,NaN,Nan
44.0273036,0.8610,8.148,11.6006,99.432,Nan,NaN,Nan
44.4152666,0.8610,8.148,11.8055,97.158,Nan,NaN,Nan
44.8052247,0.8610,8.148,11.3361,102.648,Nan,NaN,Nan
45.193187,0.8610,8.148,11.9322,104.664,Nan,NaN,Nan
45.5821484,0.8610,8.148,11.9359,102.504,Nan,NaN,Nan
45.9701101,0.8610,8.148,12.0327,100.44,Nan,NaN,Nan
