Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.4827458,0.8618,8.154,292.9880,10.002,500.0000,2.0421,4.0842
1.4687088,0.8618,8.154,294.4490,9.984,500.0000,2.0425,4.0850
2.4512761,0.8618,8.154,293.9120,10.032,500.0000,2.0429,4.0858
3.4374439,0.8618,8.154,294.4790,10.026,500.0000,2.0433,4.0866
4.4221951,0.8618,8.154,295.0450,9.96,500.0000,2.0437,4.0875
5.405708,0.8618,8.154,295.2240,9.846,500.0000,2.0441,4.0883
6.3903765,0.8618,8.154,295.3430,9.846,500.0000,2.0445,4.0891
7.3745181,0.8618,8.154,296.1480,9.834,500.0000,2.0449,4.0899
8.3556621,0.8618,8.154,295.9090,9.828,500.0000,2.0453,4.0906
9.3385089,0.8618,8.154,295.5220,9.87,500.0000,2.0457,4.0913
10.3206787,0.8618,8.154,296.4460,9.6,500.0000,2.0460,4.0920
11.3033468,0.8618,8.154,296.1770,9.726,500.0000,2.0464,4.0928
12.287388,0.8618,8.154,295.9390,9.798,500.0000,2.0468,4.0935
13.270442,0.8618,8.154,296.0880,9.924,500.0000,2.0472,4.0943
14.2547431,0.8618,8.154,295.7900,9.822,500.0000,2.0475,4.0951
15.2392892,0.8618,8.154,296.0280,9.768,500.0000,2.0479,4.0958
16.2246047,0.8618,8.154,296.0280,9.882,500.0000,2.0483,4.0966
17.2072217,0.8618,8.154,296.0880,9.918,500.0000,2.0487,4.0973
18.1897862,0.8618,8.154,296.8630,9.978,500.0000,2.0490,4.0981
19.1747972,0.8618,8.154,296.7440,9.912,500.0000,2.0494,4.0988
20.160589,0.8618,8.154,296.6240,9.936,500.0000,2.0498,4.0996
21.1510647,0.8618,8.154,295.7600,10.098,500.0000,2.0502,4.1003
22.1346161,0.8618,8.154,296.0880,9.942,500.0000,2.0505,4.1010
23.1177123,0.8618,8.154,296.2070,9.804,500.0000,2.0509,4.1017
24.1015973,0.8618,8.154,296.3560,9.672,500.0000,2.0513,4.1026
