Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.091038,0.8613,8.13,10.7587,98.91,Nan,NaN,Nan
0.4821563,0.8613,8.13,10.8481,97.422,Nan,NaN,Nan
0.8703505,0.8613,8.13,10.6693,95.136,Nan,NaN,Nan
1.2593118,0.8613,8.13,10.1925,96.798,Nan,NaN,Nan
1.6478989,0.8613,8.13,9.8944,100.32,Nan,NaN,Nan
2.0362881,0.8613,8.13,10.0136,101.106,Nan,NaN,Nan
2.4250954,0.8613,8.13,9.5964,99.066,Nan,NaN,Nan
2.8154957,0.8613,8.13,9.3580,98.172,Nan,NaN,Nan
3.2055114,0.8613,8.13,9.3878,99.858,Nan,NaN,Nan
3.5959047,0.8613,8.13,9.4474,102.528,Nan,NaN,Nan
3.9839454,0.8613,8.13,9.7156,100.944,Nan,NaN,Nan
4.3784451,0.8613,8.13,9.3282,101.892,Nan,NaN,Nan
4.7676138,0.8613,8.13,9.2686,105.552,Nan,NaN,Nan
5.1577542,0.8613,8.13,9.9242,107.214,Nan,NaN,Nan
5.5460177,0.8613,8.13,10.1925,104.358,Nan,NaN,Nan
5.9355069,0.8613,8.13,10.1030,101.574,Nan,NaN,Nan
6.3245705,0.8613,8.13,10.0434,102.18,Nan,NaN,Nan
6.7126384,0.8613,8.13,10.2223,101.274,Nan,NaN,Nan
7.1025258,0.8613,8.13,9.8348,102.906,Nan,NaN,Nan
7.4899885,0.8613,8.13,10.2223,102.558,Nan,NaN,Nan
7.8772676,0.8613,8.13,10.3713,99.798,Nan,NaN,Nan
8.2674711,0.8613,8.13,10.2819,97.104,Nan,NaN,Nan
8.6567424,0.8613,8.13,9.8050,94.422,Nan,NaN,Nan
9.0454803,0.8613,8.13,9.3580,95.934,Nan,NaN,Nan
9.4349258,0.8613,8.13,9.4176,100.938,Nan,NaN,Nan
9.8232625,0.8613,8.13,10.2819,102.498,Nan,NaN,Nan
10.2138373,0.8613,8.13,10.6097,99.858,Nan,NaN,Nan
10.6045011,0.8613,8.13,10.2819,97.59,Nan,NaN,Nan
10.9991377,0.8613,8.13,10.2819,98.748,Nan,NaN,Nan
11.3885611,0.8613,8.13,10.3117,100.038,Nan,NaN,Nan
11.7796094,0.8613,8.13,10.3713,101.472,Nan,NaN,Nan
12.1699416,0.8613,8.13,10.6097,101.556,Nan,NaN,Nan
12.5604268,0.8613,8.13,10.5203,102.822,Nan,NaN,Nan
12.9485182,0.8613,8.13,10.6991,101.346,Nan,NaN,Nan
13.3390211,0.8613,8.13,10.1627,98.388,Nan,NaN,Nan
13.7274395,0.8613,8.13,9.6262,98.82,Nan,NaN,Nan
14.1165109,0.8613,8.13,9.7156,100.434,Nan,NaN,Nan
14.5073372,0.8613,8.13,10.1925,98.412,Nan,NaN,Nan
14.8956775,0.8613,8.13,9.8646,100.38,Nan,NaN,Nan
15.2836679,0.8613,8.13,9.8944,103.05,Nan,NaN,Nan
15.6737858,0.8613,8.13,9.8944,103.524,Nan,NaN,Nan
16.0624248,0.8613,8.13,10.0732,102.072,Nan,NaN,Nan
16.4504572,0.8613,8.13,10.0732,100.134,Nan,NaN,Nan
16.8400699,0.8613,8.13,9.8348,98.964,Nan,NaN,Nan
17.2307148,0.8613,8.13,9.5964,100.62,Nan,NaN,Nan
17.6228267,0.8613,8.13,10.1030,100.188,Nan,NaN,Nan
18.0132554,0.8613,8.13,10.1925,101.514,Nan,NaN,Nan
18.4031185,0.8613,8.13,10.3713,101.886,Nan,NaN,Nan
18.7934097,0.8613,8.13,10.2223,101.346,Nan,NaN,Nan
19.1814764,0.8613,8.13,10.1030,100.848,Nan,NaN,Nan
19.5704683,0.8613,8.13,10.1627,99.078,Nan,NaN,Nan
19.9605645,0.8613,8.13,9.8050,100.278,Nan,NaN,Nan
20.3493433,0.8613,8.13,9.7752,99.462,Nan,NaN,Nan
20.7376963,0.8613,8.13,9.5368,99.48,Nan,NaN,Nan
21.1283267,0.8613,8.13,9.4772,100.422,Nan,NaN,Nan
21.5178988,0.8613,8.13,9.4176,100.56,Nan,NaN,Nan
21.9051107,0.8613,8.13,9.3282,99.444,Nan,NaN,Nan
22.2935612,0.8613,8.13,9.4772,102.054,Nan,NaN,Nan
22.6820857,0.8613,8.13,9.9540,101.922,Nan,NaN,Nan
23.0705684,0.8613,8.13,10.2223,98.886,Nan,NaN,Nan
23.4585707,0.8613,8.13,9.7156,97.038,Nan,NaN,Nan
23.849899,0.8613,8.13,9.6262,97.674,Nan,NaN,Nan
24.2433849,0.8613,8.13,9.9242,98.802,Nan,NaN,Nan
24.6323681,0.8613,8.13,10.0434,98.052,Nan,NaN,Nan
25.0196066,0.8613,8.13,9.9242,95.766,Nan,NaN,Nan
25.4078277,0.8613,8.13,9.6560,96.168,Nan,NaN,Nan
25.7972398,0.8613,8.13,10.2819,96.084,Nan,NaN,Nan
26.1876349,0.8613,8.13,10.7885,96.984,Nan,NaN,Nan
26.5780317,0.8613,8.13,11.2653,98.178,Nan,NaN,Nan
26.9664818,0.8613,8.13,11.0567,99.066,Nan,NaN,Nan
