Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.1014089,0.8624,8.16,10.8779,99.216,Nan,NaN,Nan
0.4913823,0.8624,8.16,10.9077,99.018,Nan,NaN,Nan
0.880903,0.8624,8.16,10.9971,98.622,Nan,NaN,Nan
1.2693901,0.8624,8.16,11.0269,98.238,Nan,NaN,Nan
1.6564266,0.8624,8.16,11.0567,97.86,Nan,NaN,Nan
2.0442494,0.8624,8.16,11.0865,97.416,Nan,NaN,Nan
2.4319858,0.8624,8.16,11.0865,96.978,Nan,NaN,Nan
2.8188934,0.8624,8.16,11.0865,96.636,Nan,NaN,Nan
3.2091724,0.8624,8.16,11.0567,96.474,Nan,NaN,Nan
3.5968668,0.8624,8.16,11.0567,96.486,Nan,NaN,Nan
3.9871598,0.8624,8.16,11.0567,96.834,Nan,NaN,Nan
4.3766703,0.8624,8.16,11.0567,97.176,Nan,NaN,Nan
4.7667637,0.8624,8.16,11.0567,97.608,Nan,NaN,Nan
5.1556291,0.8624,8.16,11.1163,98.082,Nan,NaN,Nan
5.5519364,0.8624,8.16,11.1759,98.454,Nan,NaN,Nan
5.9399893,0.8624,8.16,11.2951,98.658,Nan,NaN,Nan
6.3276631,0.8624,8.16,11.2951,98.628,Nan,NaN,Nan
6.7170193,0.8624,8.16,11.3249,98.616,Nan,NaN,Nan
7.1061034,0.8624,8.16,11.3547,98.676,Nan,NaN,Nan
7.4947223,0.8624,8.16,11.4143,98.628,Nan,NaN,Nan
7.8820217,0.8624,8.16,11.4740,98.496,Nan,NaN,Nan
8.2693941,0.8624,8.16,11.5336,98.472,Nan,NaN,Nan
8.6564944,0.8624,8.16,11.5336,98.388,Nan,NaN,Nan
9.0476701,0.8624,8.16,11.5038,98.508,Nan,NaN,Nan
9.43641,0.8624,8.16,11.4143,98.76,Nan,NaN,Nan
9.8262232,0.8624,8.16,11.2951,99.252,Nan,NaN,Nan
10.2158984,0.8624,8.16,11.2653,99.63,Nan,NaN,Nan
10.6054529,0.8624,8.16,11.2355,99.828,Nan,NaN,Nan
10.9954676,0.8624,8.16,11.2057,99.84,Nan,NaN,Nan
11.3836918,0.8624,8.16,11.1759,99.936,Nan,NaN,Nan
11.7723541,0.8624,8.16,11.1759,99.954,Nan,NaN,Nan
12.1617237,0.8624,8.16,11.1461,99.882,Nan,NaN,Nan
12.5498904,0.8624,8.16,11.0865,99.846,Nan,NaN,Nan
12.9390023,0.8624,8.16,11.0269,99.75,Nan,NaN,Nan
13.3271372,0.8624,8.16,10.9375,99.822,Nan,NaN,Nan
13.7163194,0.8624,8.16,10.9077,99.864,Nan,NaN,Nan
14.1055801,0.8624,8.16,10.8779,99.882,Nan,NaN,Nan
14.4953863,0.8624,8.16,10.8779,99.966,Nan,NaN,Nan
14.884128,0.8624,8.16,10.8779,100.038,Nan,NaN,Nan
15.2709812,0.8624,8.16,10.9077,100.02,Nan,NaN,Nan
15.6616024,0.8624,8.16,10.9077,100.02,Nan,NaN,Nan
16.0534502,0.8624,8.16,10.8779,100.314,Nan,NaN,Nan
16.4447277,0.8624,8.16,10.8481,100.692,Nan,NaN,Nan
16.834696,0.8624,8.16,10.8481,101.052,Nan,NaN,Nan
17.2234886,0.8624,8.16,10.8481,101.31,Nan,NaN,Nan
17.6144722,0.8624,8.154,10.8779,101.466,Nan,NaN,Nan
18.002769,0.8624,8.154,10.9077,101.496,Nan,NaN,Nan
18.3941354,0.8624,8.154,10.9673,101.466,Nan,NaN,Nan
18.7843615,0.8624,8.154,10.9971,101.19,Nan,NaN,Nan
19.1729993,0.8624,8.154,10.9673,100.866,Nan,NaN,Nan
19.5621628,0.8624,8.154,10.9375,100.524,Nan,NaN,Nan
19.9504221,0.8624,8.154,10.9077,100.296,Nan,NaN,Nan
20.3392297,0.8624,8.154,10.8779,100.068,Nan,NaN,Nan
20.7277436,0.8624,8.154,10.8481,99.912,Nan,NaN,Nan
21.1158303,0.8624,8.154,10.8481,99.828,Nan,NaN,Nan
21.5047002,0.8624,8.154,10.8183,99.726,Nan,NaN,Nan
21.8917109,0.8624,8.154,10.8481,99.624,Nan,NaN,Nan
22.2817874,0.8624,8.154,10.8481,99.606,Nan,NaN,Nan
22.6704783,0.8624,8.154,10.8779,99.594,Nan,NaN,Nan
23.0603666,0.8624,8.154,10.8779,99.594,Nan,NaN,Nan
23.4486243,0.8624,8.154,10.8779,99.594,Nan,NaN,Nan
23.8379504,0.8624,8.154,10.8779,99.678,Nan,NaN,Nan
24.2260169,0.8624,8.154,10.9077,99.936,Nan,NaN,Nan
24.6151279,0.8624,8.154,10.9077,100.182,Nan,NaN,Nan
25.0065656,0.8624,8.154,10.9375,100.422,Nan,NaN,Nan
25.3954945,0.8624,8.154,10.9971,100.476,Nan,NaN,Nan
25.7841343,0.8624,8.154,10.9971,100.548,Nan,NaN,Nan
26.1735113,0.8624,8.154,11.0269,100.428,Nan,NaN,Nan
26.5641514,0.8624,8.154,11.0269,100.344,Nan,NaN,Nan
26.9524553,0.8624,8.154,11.0269,100.188,Nan,NaN,Nan
27.3411666,0.8624,8.154,10.9971,100.032,Nan,NaN,Nan
27.7301405,0.8624,8.154,10.9673,99.888,Nan,NaN,Nan
28.1206911,0.8624,8.154,10.9375,99.906,Nan,NaN,Nan
28.5104906,0.8624,8.154,10.9375,100.08,Nan,NaN,Nan
28.9013786,0.8624,8.154,10.9673,100.494,Nan,NaN,Nan
29.291398,0.8624,8.154,11.0269,100.938,Nan,NaN,Nan
29.6822583,0.8624,8.154,11.1163,101.292,Nan,NaN,Nan
30.0703651,0.8624,8.154,11.2057,101.46,Nan,NaN,Nan
30.4633042,0.8624,8.154,11.2951,101.622,Nan,NaN,Nan
30.8549296,0.8624,8.154,11.3547,101.736,Nan,NaN,Nan
31.2463492,0.8624,8.154,11.4143,101.604,Nan,NaN,Nan
