Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.2782023,0.8620,8.13,10.1925,104.442,Nan,NaN,Nan
0.666514,0.8620,8.13,10.2521,104.76,Nan,NaN,Nan
1.0556532,0.8620,8.13,10.2223,104.784,Nan,NaN,Nan
1.4451875,0.8620,8.13,10.1627,104.652,Nan,NaN,Nan
1.8348352,0.8620,8.13,10.0434,104.244,Nan,NaN,Nan
2.223345,0.8620,8.13,9.9242,103.686,Nan,NaN,Nan
2.6118585,0.8620,8.13,9.8646,103.074,Nan,NaN,Nan
3.0000944,0.8620,8.13,9.8050,102.432,Nan,NaN,Nan
3.3894738,0.8620,8.13,9.8050,101.94,Nan,NaN,Nan
3.7789904,0.8620,8.13,9.8348,101.406,Nan,NaN,Nan
4.1682692,0.8620,8.13,9.8944,100.86,Nan,NaN,Nan
4.5565091,0.8620,8.13,9.9540,100.2,Nan,NaN,Nan
4.9465536,0.8620,8.13,9.9540,99.402,Nan,NaN,Nan
5.3416301,0.8620,8.13,9.9540,98.85,Nan,NaN,Nan
5.7305425,0.8620,8.13,9.9540,98.658,Nan,NaN,Nan
6.1192924,0.8620,8.13,9.9242,98.766,Nan,NaN,Nan
6.5092997,0.8620,8.13,9.9242,99.066,Nan,NaN,Nan
6.8993335,0.8620,8.13,9.9242,99.366,Nan,NaN,Nan
7.2889479,0.8620,8.13,9.9242,99.654,Nan,NaN,Nan
7.6788426,0.8620,8.13,9.9540,99.918,Nan,NaN,Nan
8.0682598,0.8620,8.13,9.9838,100.152,Nan,NaN,Nan
8.4587417,0.8620,8.13,10.0434,100.38,Nan,NaN,Nan
8.8484482,0.8620,8.13,10.1030,100.518,Nan,NaN,Nan
9.2397838,0.8620,8.13,10.1328,100.572,Nan,NaN,Nan
9.6303013,0.8620,8.13,10.1627,100.848,Nan,NaN,Nan
10.0192266,0.8620,8.13,10.1627,101.124,Nan,NaN,Nan
10.4092633,0.8620,8.13,10.1627,101.514,Nan,NaN,Nan
10.7998056,0.8620,8.13,10.1925,101.97,Nan,NaN,Nan
11.1897601,0.8620,8.13,10.1925,102.426,Nan,NaN,Nan
11.5824272,0.8620,8.13,10.2223,102.768,Nan,NaN,Nan
11.9713803,0.8620,8.13,10.2819,103.02,Nan,NaN,Nan
12.361238,0.8620,8.13,10.2521,102.954,Nan,NaN,Nan
12.7516387,0.8620,8.13,10.1925,102.834,Nan,NaN,Nan
13.1417994,0.8620,8.13,10.1328,102.528,Nan,NaN,Nan
13.5323462,0.8620,8.13,10.0732,102.222,Nan,NaN,Nan
13.9210675,0.8620,8.13,10.0434,101.964,Nan,NaN,Nan
14.3102219,0.8620,8.13,10.0434,101.85,Nan,NaN,Nan
14.7002767,0.8620,8.13,10.0434,101.94,Nan,NaN,Nan
15.0887586,0.8620,8.13,10.0732,101.922,Nan,NaN,Nan
