Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.3311156,0.8622,8.13,10.3117,101.436,Nan,NaN,Nan
0.7200746,0.8622,8.13,10.3713,103.128,Nan,NaN,Nan
1.1090349,0.8622,8.13,10.4905,104.124,Nan,NaN,Nan
1.4979954,0.8622,8.13,10.5799,104.628,Nan,NaN,Nan
1.8869559,0.8622,8.13,10.6991,104.682,Nan,NaN,Nan
2.274919,0.8622,8.13,10.7885,104.466,Nan,NaN,Nan
2.6638796,0.8622,8.13,10.8481,103.932,Nan,NaN,Nan
3.0538374,0.8622,8.13,10.8481,103.224,Nan,NaN,Nan
3.4427979,0.8622,8.13,10.7885,102.75,Nan,NaN,Nan
3.8317589,0.8622,8.13,10.7289,102.372,Nan,NaN,Nan
4.2217161,0.8622,8.13,10.6693,101.994,Nan,NaN,Nan
4.6106767,0.8622,8.13,10.6097,101.418,Nan,NaN,Nan
5.0006345,0.8622,8.13,10.5501,100.638,Nan,NaN,Nan
5.3885982,0.8622,8.13,10.5203,99.942,Nan,NaN,Nan
5.7755649,0.8622,8.13,10.4607,99.252,Nan,NaN,Nan
6.1635271,0.8622,8.13,10.3713,98.766,Nan,NaN,Nan
6.5524872,0.8622,8.13,10.2819,98.406,Nan,NaN,Nan
6.9404503,0.8622,8.13,10.1328,98.238,Nan,NaN,Nan
7.3294107,0.8622,8.13,10.0434,98.4,Nan,NaN,Nan
7.7173756,0.8622,8.13,9.9838,98.82,Nan,NaN,Nan
8.1063344,0.8622,8.13,10.0136,99.198,Nan,NaN,Nan
8.4942979,0.8622,8.13,10.0434,99.528,Nan,NaN,Nan
8.8812634,0.8622,8.13,10.1030,99.942,Nan,NaN,Nan
9.2692279,0.8622,8.13,10.1627,100.464,Nan,NaN,Nan
9.6591844,0.8622,8.13,10.2223,101.076,Nan,NaN,Nan
10.0491422,0.8622,8.13,10.2223,101.532,Nan,NaN,Nan
10.4381027,0.8622,8.13,10.2223,101.934,Nan,NaN,Nan
10.8260659,0.8622,8.13,10.2223,102.042,Nan,NaN,Nan
11.2150266,0.8622,8.13,10.2223,102.024,Nan,NaN,Nan
11.6059827,0.8622,8.13,10.2223,101.82,Nan,NaN,Nan
11.994942,0.8622,8.13,10.2819,101.586,Nan,NaN,Nan
12.3839028,0.8622,8.13,10.2819,101.364,Nan,NaN,Nan
12.772863,0.8622,8.13,10.3117,101.076,Nan,NaN,Nan
13.1638181,0.8622,8.13,10.3117,100.782,Nan,NaN,Nan
13.5547734,0.8622,8.13,10.3117,100.692,Nan,NaN,Nan
13.9437347,0.8622,8.13,10.3117,100.548,Nan,NaN,Nan
14.3336917,0.8622,8.13,10.2521,100.47,Nan,NaN,Nan
14.7216548,0.8622,8.13,10.2223,100.416,Nan,NaN,Nan
15.1096179,0.8622,8.13,10.1925,100.278,Nan,NaN,Nan
15.4985784,0.8622,8.13,10.1030,100.254,Nan,NaN,Nan
15.8875389,0.8622,8.13,10.0136,100.056,Nan,NaN,Nan
16.275502,0.8622,8.13,9.9242,100.062,Nan,NaN,Nan
16.6644632,0.8622,8.13,9.8646,100.134,Nan,NaN,Nan
17.0534235,0.8622,8.13,9.8050,100.278,Nan,NaN,Nan
17.4433809,0.8622,8.13,9.7752,100.41,Nan,NaN,Nan
17.8313441,0.8622,8.13,9.7752,100.602,Nan,NaN,Nan
18.2203046,0.8622,8.13,9.7752,100.776,Nan,NaN,Nan
18.6082692,0.8622,8.13,9.8050,100.854,Nan,NaN,Nan
18.9972281,0.8622,8.13,9.8646,100.686,Nan,NaN,Nan
19.3851914,0.8622,8.13,9.9540,100.452,Nan,NaN,Nan
19.7741529,0.8622,8.13,10.1328,99.876,Nan,NaN,Nan
20.1611183,0.8622,8.13,10.3117,99.162,Nan,NaN,Nan
20.5490809,0.8622,8.13,10.4607,98.67,Nan,NaN,Nan
20.937044,0.8622,8.13,10.5799,98.574,Nan,NaN,Nan
21.3260044,0.8622,8.13,10.6693,98.598,Nan,NaN,Nan
21.7139676,0.8622,8.13,10.7289,98.556,Nan,NaN,Nan
22.1039254,0.8622,8.13,10.7289,98.394,Nan,NaN,Nan
22.4918887,0.8622,8.13,10.6991,97.788,Nan,NaN,Nan
22.8798523,0.8622,8.13,10.6097,96.492,Nan,NaN,Nan
23.2678157,0.8622,8.13,10.4905,94.92,Nan,NaN,Nan
23.6567755,0.8622,8.13,10.3415,93.51,Nan,NaN,Nan
24.0457359,0.8622,8.13,10.2223,92.616,Nan,NaN,Nan
24.4346965,0.8622,8.13,10.1328,92.268,Nan,NaN,Nan
24.8226596,0.8622,8.13,10.0434,92.568,Nan,NaN,Nan
25.2126173,0.8622,8.13,9.9838,93.342,Nan,NaN,Nan
25.6015783,0.8622,8.13,9.9540,94.314,Nan,NaN,Nan
25.9905389,0.8622,8.13,9.9242,95.376,Nan,NaN,Nan
26.3785029,0.8622,8.13,9.9540,96.522,Nan,NaN,Nan
26.7654673,0.8622,8.13,10.0136,97.362,Nan,NaN,Nan
27.1534304,0.8622,8.13,10.0434,98.088,Nan,NaN,Nan
27.5403963,0.8622,8.13,10.1030,98.598,Nan,NaN,Nan
27.9283595,0.8622,8.13,10.2223,99.078,Nan,NaN,Nan
28.3163226,0.8622,8.13,10.3117,99.282,Nan,NaN,Nan
28.7042865,0.8622,8.13,10.3713,99.402,Nan,NaN,Nan
29.0932463,0.8622,8.13,10.4607,99.54,Nan,NaN,Nan
29.482208,0.8622,8.13,10.4905,99.672,Nan,NaN,Nan
29.8701709,0.8622,8.13,10.5203,99.822,Nan,NaN,Nan
30.2591309,0.8622,8.13,10.5799,99.966,Nan,NaN,Nan
30.6490883,0.8622,8.13,10.5799,100.23,Nan,NaN,Nan
31.0360541,0.8622,8.13,10.5799,100.41,Nan,NaN,Nan
31.4250146,0.8622,8.13,10.5799,100.53,Nan,NaN,Nan
31.8139753,0.8622,8.13,10.5501,100.656,Nan,NaN,Nan
32.202936,0.8622,8.13,10.4905,100.776,Nan,NaN,Nan
32.5928938,0.8622,8.13,10.4607,100.74,Nan,NaN,Nan
32.9828512,0.8622,8.13,10.4309,100.662,Nan,NaN,Nan
33.3718117,0.8622,8.13,10.3713,100.428,Nan,NaN,Nan
33.7657588,0.8622,8.13,10.3117,100.056,Nan,NaN,Nan
34.1557171,0.8622,8.13,10.2223,99.756,Nan,NaN,Nan
34.5436805,0.8622,8.13,10.1328,99.354,Nan,NaN,Nan
34.9326409,0.8622,8.13,10.0732,98.856,Nan,NaN,Nan
35.3206034,0.8622,8.13,10.0136,98.43,Nan,NaN,Nan
35.709564,0.8622,8.13,9.9242,98.184,Nan,NaN,Nan
36.0965297,0.8622,8.13,9.9242,98.088,Nan,NaN,Nan
36.4844929,0.8622,8.13,9.9242,98.172,Nan,NaN,Nan
36.8724561,0.8622,8.13,9.9540,98.442,Nan,NaN,Nan
37.2624139,0.8622,8.13,9.9838,98.898,Nan,NaN,Nan
37.6523723,0.8622,8.13,10.0136,99.168,Nan,NaN,Nan
38.0403351,0.8622,8.13,10.0434,99.336,Nan,NaN,Nan
38.4292953,0.8622,8.13,10.0732,99.384,Nan,NaN,Nan
38.8172585,0.8622,8.13,10.1627,99.432,Nan,NaN,Nan
39.2062195,0.8622,8.13,10.2223,99.648,Nan,NaN,Nan
39.5951796,0.8622,8.13,10.2819,99.858,Nan,NaN,Nan
39.9831427,0.8622,8.13,10.3415,99.9,Nan,NaN,Nan
40.3711064,0.8622,8.13,10.3415,99.828,Nan,NaN,Nan
40.7600669,0.8622,8.13,10.2819,99.816,Nan,NaN,Nan
41.1490268,0.8622,8.13,10.1925,99.894,Nan,NaN,Nan
41.53699,0.8622,8.13,10.1627,99.912,Nan,NaN,Nan
41.9249531,0.8622,8.13,10.1328,99.942,Nan,NaN,Nan
42.3139153,0.8622,8.13,10.1030,100.068,Nan,NaN,Nan
42.7038715,0.8622,8.13,10.0434,100.098,Nan,NaN,Nan
43.092832,0.8622,8.13,10.0732,100.176,Nan,NaN,Nan
43.4807952,0.8622,8.13,10.1030,100.314,Nan,NaN,Nan
43.868759,0.8622,8.13,10.1925,100.506,Nan,NaN,Nan
44.2587167,0.8622,8.13,10.3117,100.602,Nan,NaN,Nan
44.6466793,0.8622,8.13,10.3713,100.536,Nan,NaN,Nan
45.0376349,0.8622,8.13,10.4011,100.41,Nan,NaN,Nan
45.4265949,0.8622,8.13,10.4309,100.212,Nan,NaN,Nan
45.8185484,0.8622,8.13,10.3713,100.068,Nan,NaN,Nan
46.2075078,0.8622,8.13,10.3117,100.038,Nan,NaN,Nan
46.5944738,0.8622,8.13,10.2819,99.978,Nan,NaN,Nan
46.9834342,0.8622,8.13,10.2521,100.014,Nan,NaN,Nan
47.3723947,0.8622,8.13,10.2223,100.044,Nan,NaN,Nan
47.7613552,0.8622,8.13,10.1627,100.02,Nan,NaN,Nan
48.1493183,0.8622,8.13,10.0732,100.098,Nan,NaN,Nan
48.5382788,0.8622,8.13,10.0136,100.152,Nan,NaN,Nan
48.9282375,0.8622,8.13,9.9540,100.182,Nan,NaN,Nan
49.3171972,0.8622,8.13,10.0136,100.26,Nan,NaN,Nan
49.7061577,0.8622,8.13,10.0434,100.308,Nan,NaN,Nan
50.0951181,0.8622,8.13,10.1328,100.296,Nan,NaN,Nan
50.4840786,0.8622,8.13,10.2223,100.272,Nan,NaN,Nan
50.8810178,0.8622,8.13,10.3415,100.278,Nan,NaN,Nan
51.2709756,0.8622,8.13,10.4309,100.2,Nan,NaN,Nan
51.6589388,0.8622,8.13,10.4905,100.062,Nan,NaN,Nan
52.046902,0.8622,8.13,10.4905,99.942,Nan,NaN,Nan
52.4358629,0.8622,8.13,10.5203,99.744,Nan,NaN,Nan
52.8228283,0.8622,8.13,10.5203,99.48,Nan,NaN,Nan
53.2107926,0.8622,8.13,10.4905,99.3,Nan,NaN,Nan
53.5997532,0.8622,8.13,10.4905,99.03,Nan,NaN,Nan
53.9877157,0.8622,8.136,10.4607,98.784,Nan,NaN,Nan
54.3786702,0.8622,8.136,10.4011,98.574,Nan,NaN,Nan
54.768628,0.8622,8.136,10.3117,98.484,Nan,NaN,Nan
55.1575891,0.8622,8.136,10.1627,98.598,Nan,NaN,Nan
55.5455517,0.8622,8.136,10.0434,98.772,Nan,NaN,Nan
55.9325175,0.8622,8.136,10.0136,98.898,Nan,NaN,Nan
56.3204806,0.8622,8.136,10.0434,99.168,Nan,NaN,Nan
56.707448,0.8622,8.136,10.0732,99.186,Nan,NaN,Nan
57.0964071,0.8622,8.136,10.2223,99.066,Nan,NaN,Nan
57.4863649,0.8622,8.136,10.3713,98.742,Nan,NaN,Nan
57.876323,0.8622,8.136,10.5203,98.334,Nan,NaN,Nan
58.2652831,0.8622,8.136,10.6395,98.052,Nan,NaN,Nan
58.6532473,0.8622,8.136,10.7587,97.89,Nan,NaN,Nan
59.0412094,0.8622,8.136,10.8481,97.656,Nan,NaN,Nan
59.4291727,0.8622,8.136,10.8779,97.572,Nan,NaN,Nan
59.8171366,0.8622,8.136,10.8481,97.692,Nan,NaN,Nan
60.204102,0.8622,8.136,10.7587,98.004,Nan,NaN,Nan
60.5940594,0.8622,8.136,10.7289,98.496,Nan,NaN,Nan
60.9840188,0.8622,8.136,10.6693,98.886,Nan,NaN,Nan
61.3729785,0.8622,8.136,10.6097,99.3,Nan,NaN,Nan
61.7619384,0.8622,8.136,10.5799,99.612,Nan,NaN,Nan
62.1518963,0.8622,8.136,10.5203,99.414,Nan,NaN,Nan
62.5398601,0.8622,8.136,10.3415,99.324,690.0000,0,0
62.9288197,0.8622,8.136,7.9871,152.328,690.0000,0,0
64.011925,0.8622,8.136,43.0050,-160.782,1000.000,2.8614,2.8614
65.0960282,0.8622,8.136,464.7390,-174.762,1000.000,2.8618,2.8618
66.1801323,0.8622,8.136,546.0720,178.812,1000.000,2.8620,2.8620
67.2632359,0.8622,8.136,546.0720,174.522,1000.000,2.8621,2.8621
68.3463416,0.8622,8.136,411.0350,168.852,1000.000,2.8624,2.8624
69.4294465,0.8622,8.136,169.3680,151.998,1000.000,2.8624,2.8624
70.5135493,0.8622,8.136,71.5856,61.074,1000.000,2.8624,2.8624
71.5966546,0.8622,8.136,145.9130,22.692,1000.000,2.8622,2.8622
72.6787626,0.8622,8.136,197.6500,14.652,1000.000,2.8622,2.8622
73.7618695,0.8622,8.136,226.2010,11.664,1000.000,2.8620,2.8620
74.8449739,0.8622,8.136,241.0120,10.512,1000.000,2.8621,2.8621
75.9300734,0.8622,8.136,247.8080,10.026,1000.000,2.8619,2.8619
77.0121814,0.8622,8.136,250.7290,9.894,1000.000,2.8618,2.8618
78.0952872,0.8622,8.136,251.6820,9.906,1000.000,2.8615,2.8615
79.1773949,0.8622,8.136,252.5770,9.906,1000.000,2.8616,2.8616
80.262495,0.8622,8.136,254.3940,10.074,1000.000,2.8616,2.8616
81.3456002,0.8622,8.136,255.3180,10.122,1000.000,2.8613,2.8613
82.429703,0.8622,8.136,253.9470,10.164,1000.000,2.8610,2.8610
83.514803,0.8622,8.136,251.4740,10.35,1000.000,2.8609,2.8609
84.5979084,0.8622,8.136,249.6260,10.644,1000.000,2.8608,2.8608
85.6800176,0.8622,8.136,248.6720,10.95,1000.000,2.8607,2.8607
86.7631218,0.8622,8.136,247.8980,10.896,1000.000,2.8607,2.8607
87.8472244,0.8622,8.136,247.0040,10.668,1000.000,2.8606,2.8606
88.9313277,0.8622,8.136,247.5100,10.284,1000.000,2.8605,2.8605
90.0134351,0.8622,8.136,248.5230,9.858,1000.000,2.8603,2.8603
91.0965406,0.8622,8.136,248.6720,9.696,1000.000,2.8602,2.8602
92.1786496,0.8622,8.136,249.3280,9.804,1000.000,2.8601,2.8601
93.2637486,0.8622,8.136,250.4610,10.026,1000.000,2.8600,2.8600
94.3458567,0.8622,8.136,250.4310,10.11,1000.000,2.8598,2.8598
95.4299594,0.8622,8.136,250.0430,10.176,1000.000,2.8597,2.8597
96.514062,0.8622,8.136,250.4900,10.212,1000.000,2.8596,2.8596
97.5961702,0.8622,8.136,251.0270,10.218,1000.000,2.8595,2.8595
98.6792762,0.8622,8.136,251.1760,10.254,1000.000,2.8592,2.8592
99.7633782,0.8622,8.136,251.8020,10.308,1000.000,2.8590,2.8590
