Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.1674247,0.8622,8.154,10.1627,102.99,Nan,NaN,Nan
0.5569141,0.8622,8.154,10.1030,102.846,Nan,NaN,Nan
0.9476992,0.8622,8.154,10.0434,102.63,Nan,NaN,Nan
1.3412908,0.8622,8.154,9.9540,102.36,Nan,NaN,Nan
1.7320185,0.8622,8.154,9.8944,102.258,Nan,NaN,Nan
2.1224489,0.8622,8.154,9.8348,102.414,Nan,NaN,Nan
2.5135975,0.8622,8.154,9.8050,102.624,Nan,NaN,Nan
2.903171,0.8622,8.154,9.8050,102.81,Nan,NaN,Nan
3.2942999,0.8622,8.154,9.8348,103.188,Nan,NaN,Nan
3.6840636,0.8622,8.154,9.8944,103.614,Nan,NaN,Nan
4.0769531,0.8622,8.154,9.9540,103.992,Nan,NaN,Nan
4.4681304,0.8622,8.154,10.0434,103.896,Nan,NaN,Nan
4.8600836,0.8622,8.154,10.0434,103.668,Nan,NaN,Nan
5.2512067,0.8622,8.154,10.0434,103.302,Nan,NaN,Nan
5.6401454,0.8622,8.154,10.0434,102.93,Nan,NaN,Nan
6.027054,0.8622,8.154,10.0136,102.6,Nan,NaN,Nan
6.4170512,0.8622,8.154,9.9540,102.384,Nan,NaN,Nan
6.8072506,0.8622,8.154,9.8944,102.468,Nan,NaN,Nan
7.1974627,0.8622,8.154,9.8050,102.624,Nan,NaN,Nan
7.5874499,0.8622,8.154,9.8050,102.876,Nan,NaN,Nan
7.9787864,0.8622,8.154,9.7752,102.876,Nan,NaN,Nan
8.3690922,0.8622,8.154,9.7752,102.594,Nan,NaN,Nan
8.7596389,0.8622,8.154,9.7752,102.288,Nan,NaN,Nan
9.1503127,0.8622,8.154,9.7752,101.958,Nan,NaN,Nan
9.5405372,0.8622,8.154,9.8348,101.592,Nan,NaN,Nan
9.930556,0.8622,8.154,9.8944,101.232,Nan,NaN,Nan
10.3216304,0.8622,8.154,9.9540,100.974,Nan,NaN,Nan
10.7121023,0.8622,8.154,10.0136,100.806,Nan,NaN,Nan
11.1023342,0.8622,8.154,10.1030,100.608,Nan,NaN,Nan
11.4922329,0.8622,8.154,10.1627,100.446,Nan,NaN,Nan
11.8820673,0.8622,8.154,10.2223,100.38,Nan,NaN,Nan
12.2723689,0.8622,8.154,10.3117,100.038,Nan,NaN,Nan
12.6620242,0.8622,8.154,10.3713,99.414,Nan,NaN,Nan
13.0508098,0.8622,8.154,10.4011,98.742,Nan,NaN,Nan
13.4391536,0.8622,8.154,10.4309,97.974,Nan,NaN,Nan
13.8283662,0.8622,8.154,10.4607,97.41,Nan,NaN,Nan
14.2172535,0.8622,8.154,10.4607,97.032,Nan,NaN,Nan
14.6048071,0.8622,8.154,10.4607,96.852,Nan,NaN,Nan
14.9945635,0.8622,8.154,10.4309,96.774,Nan,NaN,Nan
15.3844834,0.8622,8.154,10.4309,96.786,Nan,NaN,Nan
15.7741204,0.8622,8.154,10.4309,96.888,Nan,NaN,Nan
16.1666762,0.8622,8.154,10.4011,96.906,Nan,NaN,Nan
16.5578421,0.8622,8.154,10.3713,97.02,Nan,NaN,Nan
16.9487053,0.8622,8.154,10.3117,97.254,Nan,NaN,Nan
17.3385323,0.8622,8.154,10.2223,97.494,Nan,NaN,Nan
