Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.3031873,0.8621,8.124,4224.5700,8.076,200.0000,6.9812,34.9060
1.386292,0.8621,8.124,4223.3800,8.1,200.0000,6.9811,34.9053
2.4693972,0.8621,8.124,4222.4200,8.076,200.0000,6.9807,34.9034
3.553499,0.8621,8.124,4223.3800,8.106,200.0000,6.9810,34.9050
4.6356068,0.8621,8.124,4225.5200,8.052,200.0000,6.9805,34.9027
5.7177136,0.8621,8.124,4223.6100,8.088,200.0000,6.9810,34.9052
6.8018157,0.8621,8.124,4224.5700,8.04,200.0000,6.9812,34.9062
7.886915,0.8621,8.124,4224.8100,8.076,200.0000,6.9806,34.9030
8.9690232,0.8621,8.124,4224.8100,8.04,200.0000,6.9809,34.9044
10.0521284,0.8621,8.124,4222.9000,8.004,200.0000,6.9807,34.9034
11.1422131,0.8621,8.124,4225.0500,7.968,200.0000,6.9809,34.9045
12.2253182,0.8621,8.124,4225.0500,8.022,200.0000,6.9813,34.9067
13.3094199,0.8621,8.124,4224.5700,8.082,200.0000,6.9806,34.9031
14.3925253,0.8621,8.124,4226.2400,8.094,200.0000,6.9808,34.9042
15.4756294,0.8621,8.124,4222.9000,8.13,200.0000,6.9806,34.9030
16.5587342,0.8621,8.124,4222.4200,8.1,200.0000,6.9806,34.9032
17.6408415,0.8621,8.124,4221.2300,8.022,200.0000,6.9813,34.9065
18.7249436,0.8621,8.124,4221.7100,8.046,200.0000,6.9807,34.9033
19.8090456,0.8621,8.124,4223.6100,8.082,200.0000,6.9807,34.9033
20.8951424,0.8621,8.124,4224.8100,8.07,200.0000,6.9807,34.9036
21.9782474,0.8621,8.124,4223.6100,8.04,200.0000,6.9805,34.9025
23.0613518,0.8621,8.124,4227.9100,8.058,200.0000,6.9812,34.9059
24.1464511,0.8621,8.124,4229.3400,8.028,200.0000,6.9807,34.9037
25.2285586,0.8621,8.124,4227.6700,8.064,200.0000,6.9805,34.9026
26.3116646,0.8621,8.124,4225.5200,8.112,200.0000,6.9807,34.9035
27.3937706,0.8621,8.124,4224.5700,8.13,200.0000,6.9805,34.9023
28.4778734,0.8621,8.124,4224.8100,8.064,200.0000,6.9811,34.9057
29.5619747,0.8621,8.124,4220.9900,8.058,200.0000,6.9810,34.9052
30.6450794,0.8621,8.124,4222.9000,8.058,200.0000,6.9806,34.9030
31.7271869,0.8621,8.124,4223.8500,8.07,200.0000,6.9809,34.9046
32.81129,0.8621,8.124,4224.0900,8.124,200.0000,6.9807,34.9034
33.8953909,0.8621,8.124,4224.5700,8.082,200.0000,6.9811,34.9054
34.9784957,0.8621,8.124,4223.3800,8.112,200.0000,6.9813,34.9065
36.0625977,0.8621,8.124,4224.3300,8.094,200.0000,6.9807,34.9033
37.1457024,0.8621,8.124,4223.1400,8.106,200.0000,6.9808,34.904
38.2288089,0.8621,8.124,4223.8500,8.052,200.0000,6.9806,34.9032
39.3129099,0.8621,8.124,4223.3800,8.058,200.0000,6.9808,34.9040
40.3970112,0.8621,8.124,4224.5700,8.034,200.0000,6.9814,34.9071
41.4811133,0.8621,8.124,4223.3800,8.022,200.0000,6.9807,34.9036
42.5652153,0.8621,8.124,4225.7600,8.016,200.0000,6.9809,34.9047
43.647323,0.8621,8.124,4222.1800,8.016,200.0000,6.9808,34.9039
44.7304274,0.8621,8.124,4223.8500,8.1,200.0000,6.9809,34.9043
45.8135322,0.8621,8.124,4219.8000,8.118,200.0000,6.9815,34.9076
46.8956395,0.8621,8.124,4222.4200,8.088,200.0000,6.9809,34.9043
47.9777477,0.8621,8.124,4218.3700,8.082,200.0000,6.9807,34.9037
49.0598562,0.8621,8.124,4223.1400,8.088,200.0000,6.9810,34.9050
50.1439569,0.8621,8.124,4223.8500,8.064,200.0000,6.9807,34.9036
51.2260645,0.8621,8.124,4224.0900,8.01,200.0000,6.9814,34.9072
52.308171,0.8621,8.124,4221.9500,8.07,200.0000,6.9812,34.9059
53.3912758,0.8621,8.124,4221.4700,8.082,200.0000,6.9807,34.9034
54.4753794,0.8621,8.124,4226.0000,8.1,200.0000,6.9810,34.9049
55.5574853,0.8621,8.124,4226.2400,8.04,200.0000,6.9807,34.9033
56.6395927,0.8621,8.124,4226.2400,8.052,200.0000,6.9813,34.9067
57.7226976,0.8621,8.124,4223.8500,8.034,200.0000,6.9817,34.9083
58.8058022,0.8621,8.124,4223.6100,8.028,200.0000,6.9812,34.9061
59.8879095,0.8621,8.124,4225.7600,8.022,200.0000,6.9816,34.9081
60.9710142,0.8621,8.124,4222.1800,8.088,200.0000,6.9815,34.9076
62.0551163,0.8621,8.124,4220.7500,8.07,200.0000,6.9821,34.9104
63.1392183,0.8622,8.124,4221.2300,8.058,200.0000,6.9826,34.9132
64.2213264,0.8622,8.124,4221.7100,8.016,200.0000,6.9823,34.9114
65.3044304,0.8622,8.124,4218.8500,8.058,200.0000,6.9826,34.9132
66.3875351,0.8622,8.124,4220.0400,8.088,200.0000,6.9827,34.9135
67.4716371,0.8622,8.124,4217.4200,8.082,200.0000,6.9831,34.9154
68.5537446,0.8622,8.124,4216.2200,8.034,200.0000,6.9839,34.9197
69.635852,0.8622,8.124,4215.0300,8.088,200.0000,6.9835,34.9177
70.7219493,0.8622,8.124,4217.1800,8.088,200.0000,6.9838,34.9189
71.807048,0.8622,8.124,4216.9400,8.07,200.0000,6.9841,34.9206
72.8891559,0.8622,8.124,4216.2200,8.058,200.0000,6.9842,34.9212
73.9722601,0.8622,8.124,4213.8400,8.1,200.0000,6.9852,34.9259
75.0573595,0.8622,8.124,4213.3600,8.112,200.0000,6.9850,34.9248
76.1404652,0.8621,8.124,4212.4100,8.088,200.0000,6.9850,34.9251
77.2225716,0.8621,8.124,4212.4100,8.1,200.0000,6.9854,34.9272
78.3056763,0.8621,8.124,4210.7400,8.076,200.0000,6.9854,34.9271
79.3897784,0.8622,8.124,4209.0700,8.076,200.0000,6.9862,34.9311
80.4728831,0.8622,8.124,4211.2200,8.064,200.0000,6.9864,34.9322
81.5579828,0.8622,8.124,4208.3600,8.034,200.0000,6.9863,34.9315
82.6400905,0.8622,8.124,4206.2100,8.028,200.0000,6.9867,34.9335
83.724192,0.8622,8.124,4207.8800,8.04,200.0000,6.9867,34.9337
84.8062994,0.8622,8.124,4205.0200,8.028,200.0000,6.9875,34.9376
85.8884067,0.8622,8.124,4204.0600,8.028,200.0000,6.9880,34.9399
86.9715114,0.8622,8.124,4204.0600,8.028,200.0000,6.9876,34.9380
88.0556142,0.8622,8.124,4203.5900,8.046,200.0000,6.9881,34.9404
89.1387182,0.8622,8.13,4204.0600,8.07,200.0000,6.9881,34.9407
90.2218232,0.8622,8.13,4204.3000,8.058,200.0000,6.9886,34.9431
91.3049276,0.8622,8.13,4202.4000,8.07,200.0000,6.9893,34.9466
92.3890296,0.8622,8.124,4203.5900,8.058,200.0000,6.9890,34.9448
93.4721352,0.8622,8.124,4199.7700,8.058,200.0000,6.9893,34.9467
94.5542421,0.8621,8.13,4198.1000,8.064,200.0000,6.9894,34.9470
