Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.12014,0.8621,8.118,9.6560,96.132,Nan,NaN,Nan
0.5087456,0.8621,8.118,9.6262,96.36,Nan,NaN,Nan
0.9016363,0.8621,8.118,9.5964,96.678,Nan,NaN,Nan
1.288421,0.8621,8.118,9.5666,97.188,Nan,NaN,Nan
1.6750824,0.8621,8.118,9.5964,97.776,Nan,NaN,Nan
2.0632146,0.8621,8.118,9.5964,98.466,Nan,NaN,Nan
2.451406,0.8621,8.118,9.6262,98.958,Nan,NaN,Nan
2.8400689,0.8621,8.118,9.6262,99.366,Nan,NaN,Nan
3.2293316,0.8621,8.118,9.5964,99.48,Nan,NaN,Nan
3.6173191,0.8621,8.118,9.5666,99.612,Nan,NaN,Nan
4.0079307,0.8621,8.118,9.5368,99.822,Nan,NaN,Nan
4.3982902,0.8621,8.118,9.5368,100.056,Nan,NaN,Nan
4.7860011,0.8621,8.118,9.5070,100.386,Nan,NaN,Nan
5.1763571,0.8621,8.124,9.5070,100.716,Nan,NaN,Nan
5.566301,0.8621,8.124,9.4772,101.034,Nan,NaN,Nan
5.9555954,0.8621,8.124,9.4772,101.13,Nan,NaN,Nan
6.3432366,0.8621,8.124,9.5070,101.016,Nan,NaN,Nan
6.7343844,0.8621,8.124,9.5070,100.758,Nan,NaN,Nan
7.1228243,0.8621,8.124,9.5368,100.218,Nan,NaN,Nan
7.5130967,0.8621,8.124,9.6262,99.672,Nan,NaN,Nan
7.9016275,0.8621,8.124,9.6560,99.108,Nan,NaN,Nan
8.2901473,0.8621,8.124,9.7454,98.436,Nan,NaN,Nan
8.6789338,0.8621,8.124,9.8348,97.854,Nan,NaN,Nan
9.0698277,0.8621,8.124,9.9242,97.482,Nan,NaN,Nan
9.4580785,0.8621,8.124,10.0434,97.326,Nan,NaN,Nan
9.8479988,0.8621,8.124,10.0732,97.476,Nan,NaN,Nan
10.2388697,0.8621,8.124,10.1030,97.758,Nan,NaN,Nan
10.6261854,0.8621,8.124,10.1030,98.034,Nan,NaN,Nan
11.0150908,0.8621,8.124,10.1030,98.328,Nan,NaN,Nan
11.4055592,0.8621,8.124,10.1030,98.622,Nan,NaN,Nan
11.794543,0.8621,8.124,10.1030,99,Nan,NaN,Nan
12.1850502,0.8621,8.124,10.1328,99.54,Nan,NaN,Nan
12.5752645,0.8621,8.124,10.1925,99.966,Nan,NaN,Nan
12.9638746,0.8621,8.124,10.2223,100.38,Nan,NaN,Nan
13.3550948,0.8621,8.124,10.3117,100.71,Nan,NaN,Nan
13.7451774,0.8621,8.124,10.3415,101.022,Nan,NaN,Nan
14.1352384,0.8621,8.124,10.4011,101.238,Nan,NaN,Nan
14.5261211,0.8621,8.124,10.4607,101.382,Nan,NaN,Nan
14.9164305,0.8621,8.124,10.4905,101.526,Nan,NaN,Nan
15.306654,0.8621,8.124,10.4905,101.88,Nan,NaN,Nan
15.6949717,0.8621,8.124,10.5203,102.408,Nan,NaN,Nan
16.0833144,0.8621,8.124,10.5799,102.834,Nan,NaN,Nan
16.4718055,0.8621,8.124,10.5799,102.81,Nan,NaN,Nan
16.8651269,0.8621,8.124,10.5799,102.744,Nan,NaN,Nan
17.2558876,0.8621,8.124,10.5203,102.408,Nan,NaN,Nan
17.645587,0.8621,8.124,10.4905,102.006,Nan,NaN,Nan
18.0375042,0.8621,8.124,10.4309,101.688,Nan,NaN,Nan
18.4266649,0.8621,8.124,10.3713,101.292,Nan,NaN,Nan
18.8186025,0.8621,8.124,10.3117,101.076,Nan,NaN,Nan
19.2094207,0.8621,8.124,10.2521,100.962,Nan,NaN,Nan
