Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.0637783,0.8622,8.154,10.1328,99.186,Nan,NaN,Nan
0.4530415,0.8622,8.154,10.1030,99.57,Nan,NaN,Nan
0.842359,0.8622,8.154,10.1030,99.882,Nan,NaN,Nan
1.2337115,0.8622,8.154,10.0732,100.164,Nan,NaN,Nan
1.6236304,0.8622,8.154,10.1030,100.254,Nan,NaN,Nan
2.0143447,0.8622,8.154,10.0732,100.368,Nan,NaN,Nan
2.4058093,0.8622,8.154,10.0732,100.476,Nan,NaN,Nan
2.7950929,0.8622,8.154,10.0434,100.584,Nan,NaN,Nan
3.1854428,0.8622,8.154,10.0434,100.62,Nan,NaN,Nan
3.5736447,0.8622,8.154,10.0136,100.47,Nan,NaN,Nan
3.9653912,0.8622,8.154,9.9540,100.41,Nan,NaN,Nan
4.3545099,0.8622,8.154,9.9242,100.14,Nan,NaN,Nan
4.7450093,0.8622,8.154,9.8944,100.062,Nan,NaN,Nan
5.1335082,0.8622,8.154,9.9242,99.954,Nan,NaN,Nan
5.5222551,0.8622,8.154,9.9242,99.918,Nan,NaN,Nan
5.9126633,0.8622,8.154,10.0136,100.038,Nan,NaN,Nan
6.3000234,0.8622,8.154,10.0732,100.05,Nan,NaN,Nan
6.6906757,0.8622,8.154,10.1627,99.966,Nan,NaN,Nan
7.0809937,0.8622,8.154,10.2521,99.816,Nan,NaN,Nan
7.4706315,0.8622,8.154,10.3117,99.48,Nan,NaN,Nan
7.8605288,0.8622,8.154,10.3415,98.874,Nan,NaN,Nan
8.2473708,0.8622,8.154,10.3713,98.298,Nan,NaN,Nan
8.6379752,0.8622,8.154,10.3713,97.83,Nan,NaN,Nan
9.0263165,0.8622,8.154,10.3415,97.584,Nan,NaN,Nan
9.4196986,0.8622,8.154,10.3117,97.53,Nan,NaN,Nan
9.8069586,0.8622,8.154,10.2521,97.656,Nan,NaN,Nan
10.1944569,0.8622,8.154,10.2223,97.878,Nan,NaN,Nan
10.5830447,0.8622,8.154,10.1925,98.262,Nan,NaN,Nan
10.9715222,0.8622,8.154,10.1925,98.742,Nan,NaN,Nan
11.3608384,0.8622,8.154,10.1925,99.108,Nan,NaN,Nan
11.7501975,0.8622,8.154,10.1925,99.492,Nan,NaN,Nan
12.1404675,0.8622,8.154,10.1925,99.876,Nan,NaN,Nan
12.5321863,0.8622,8.154,10.1627,100.278,Nan,NaN,Nan
12.9191794,0.8622,8.154,10.1627,100.776,Nan,NaN,Nan
13.3097846,0.8622,8.154,10.1030,100.998,Nan,NaN,Nan
13.7049797,0.8622,8.154,10.1030,101.106,Nan,NaN,Nan
14.0938906,0.8622,8.154,10.0732,101.034,Nan,NaN,Nan
14.4829839,0.8622,8.154,10.0732,100.752,Nan,NaN,Nan
14.8730759,0.8622,8.154,10.0732,100.29,Nan,NaN,Nan
15.2634091,0.8622,8.154,10.0732,99.714,Nan,NaN,Nan
15.6522869,0.8622,8.154,10.0732,98.946,Nan,NaN,Nan
16.0427204,0.8622,8.154,10.0434,98.196,Nan,NaN,Nan
16.4325909,0.8622,8.154,10.0136,97.644,Nan,NaN,Nan
16.8201873,0.8622,8.154,10.0136,97.458,Nan,NaN,Nan
17.2082078,0.8622,8.154,10.0136,97.458,Nan,NaN,Nan
17.5998929,0.8622,8.154,10.0136,97.536,Nan,NaN,Nan
17.988598,0.8622,8.154,10.0434,97.524,Nan,NaN,Nan
18.3771156,0.8622,8.154,10.0434,97.434,Nan,NaN,Nan
18.764766,0.8622,8.154,10.0434,97.434,Nan,NaN,Nan
19.1566121,0.8622,8.154,10.0136,97.554,Nan,NaN,Nan
19.5467501,0.8622,8.154,9.9838,97.752,Nan,NaN,Nan
19.9366793,0.8622,8.154,10.0136,97.926,Nan,NaN,Nan
20.3263096,0.8622,8.154,10.0434,97.824,Nan,NaN,Nan
20.7145352,0.8622,8.154,10.0434,97.62,Nan,NaN,Nan
21.1035738,0.8622,8.154,10.0434,97.446,Nan,NaN,Nan
21.4915855,0.8622,8.154,10.0434,97.338,Nan,NaN,Nan
21.8814087,0.8622,8.154,10.0434,97.338,Nan,NaN,Nan
22.2712078,0.8622,8.154,10.0434,97.62,Nan,NaN,Nan
22.6594696,0.8622,8.154,10.0434,97.902,Nan,NaN,Nan
23.0471844,0.8622,8.154,10.0434,97.998,Nan,NaN,Nan
23.4341036,0.8622,8.154,10.0434,97.998,Nan,NaN,Nan
23.8225354,0.8622,8.154,10.0434,97.902,Nan,NaN,Nan
24.2111079,0.8622,8.154,10.0434,97.698,Nan,NaN,Nan
24.6016028,0.8622,8.154,10.0732,97.5,Nan,NaN,Nan
24.9904633,0.8622,8.154,10.0732,97.206,Nan,NaN,Nan
25.3797585,0.8622,8.154,10.0732,97.218,Nan,NaN,Nan
25.7706397,0.8622,8.154,10.0434,97.434,Nan,NaN,Nan
26.1605338,0.8622,8.154,10.0434,97.926,Nan,NaN,Nan
26.5515867,0.8622,8.154,10.0136,98.52,Nan,NaN,Nan
26.9458237,0.8622,8.154,9.9838,99.024,Nan,NaN,Nan
27.3326241,0.8622,8.154,9.9540,99.336,Nan,NaN,Nan
27.7209741,0.8622,8.154,9.9242,99.558,Nan,NaN,Nan
28.1094341,0.8622,8.154,9.8646,99.72,Nan,NaN,Nan
28.4993913,0.8622,8.154,9.8050,99.99,Nan,NaN,Nan
28.888745,0.8622,8.154,9.7156,100.368,Nan,NaN,Nan
29.282242,0.8622,8.154,9.6560,100.824,Nan,NaN,Nan
29.6720588,0.8622,8.154,9.6262,101.19,Nan,NaN,Nan
30.063623,0.8622,8.154,9.5368,101.544,Nan,NaN,Nan
30.4521839,0.8622,8.154,9.5368,101.802,Nan,NaN,Nan
30.8422347,0.8622,8.154,9.5368,101.994,Nan,NaN,Nan
31.2315705,0.8622,8.154,9.5368,102.072,Nan,NaN,Nan
31.6230008,0.8622,8.154,9.5666,102.15,Nan,NaN,Nan
32.0130279,0.8622,8.154,9.5964,102.402,Nan,NaN,Nan
32.4041865,0.8622,8.154,9.6560,102.702,Nan,NaN,Nan
32.7927548,0.8622,8.154,9.7752,102.78,Nan,NaN,Nan
33.1825725,0.8622,8.154,9.8348,102.486,Nan,NaN,Nan
33.5720214,0.8622,8.154,9.8944,101.934,Nan,NaN,Nan
33.9615335,0.8622,8.154,9.9242,101.214,Nan,NaN,Nan
34.3506389,0.8622,8.154,9.9242,100.614,Nan,NaN,Nan
34.7401845,0.8622,8.154,9.9540,100.092,Nan,NaN,Nan
35.1289031,0.8622,8.154,9.9838,99.792,Nan,NaN,Nan
35.5198368,0.8622,8.154,9.9838,99.606,Nan,NaN,Nan
35.909209,0.8622,8.154,9.9540,99.606,Nan,NaN,Nan
36.299287,0.8622,8.154,9.9540,99.606,Nan,NaN,Nan
36.6886317,0.8622,8.154,9.9540,99.618,Nan,NaN,Nan
37.0776401,0.8622,8.154,9.9540,99.528,Nan,NaN,Nan
37.4661987,0.8622,8.154,9.9540,99.528,Nan,NaN,Nan
37.8548839,0.8622,8.154,9.9540,99.618,Nan,NaN,Nan
38.2467208,0.8622,8.154,9.9540,99.51,Nan,NaN,Nan
38.6371752,0.8622,8.154,10.0136,99.288,Nan,NaN,Nan
39.0255725,0.8622,8.154,9.9838,99.024,Nan,NaN,Nan
39.4138648,0.8622,8.154,9.9242,98.784,Nan,NaN,Nan
39.8045054,0.8622,8.154,9.8646,98.826,Nan,NaN,Nan
40.1933809,0.8622,8.154,9.8050,98.886,Nan,NaN,Nan
40.5862101,0.8622,8.154,9.7752,99.222,Nan,NaN,Nan
