Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.256721,0.8618,8.118,9.3282,102.318,Nan,NaN,Nan
0.6458589,0.8618,8.118,9.3580,101.712,Nan,NaN,Nan
1.0358465,0.8618,8.118,9.3729,101.022,Nan,NaN,Nan
1.4258395,0.8618,8.118,9.3878,100.428,Nan,NaN,Nan
1.8170307,0.8618,8.118,9.3952,99.846,Nan,NaN,Nan
2.2043518,0.8618,8.118,9.3878,99.474,Nan,NaN,Nan
2.5925482,0.8618,8.118,9.3803,99.234,Nan,NaN,Nan
2.9821547,0.8618,8.118,9.3878,99.186,Nan,NaN,Nan
3.3745007,0.8618,8.118,9.3878,99.396,Nan,NaN,Nan
3.7638273,0.8618,8.118,9.3952,99.726,Nan,NaN,Nan
4.1544481,0.8618,8.118,9.3878,100.176,Nan,NaN,Nan
4.5444526,0.8618,8.118,9.3878,100.638,Nan,NaN,Nan
4.9348667,0.8618,8.118,9.3803,101.184,Nan,NaN,Nan
5.3254355,0.8618,8.118,9.3803,101.688,Nan,NaN,Nan
5.714392,0.8618,8.118,9.3729,102.192,Nan,NaN,Nan
6.1043358,0.8618,8.118,9.3803,102.606,Nan,NaN,Nan
6.4945446,0.8618,8.118,9.3729,102.768,Nan,NaN,Nan
6.8832097,0.8618,8.118,9.3654,102.66,Nan,NaN,Nan
7.2718966,0.8619,8.118,9.3580,102.384,Nan,NaN,Nan
7.6615615,0.8619,8.118,9.3580,102.03,Nan,NaN,Nan
8.0520084,0.8619,8.118,9.4027,101.556,Nan,NaN,Nan
8.4408589,0.8619,8.118,9.4772,100.926,Nan,NaN,Nan
8.8307866,0.8619,8.118,9.5592,100.104,Nan,NaN,Nan
9.2194752,0.8619,8.118,9.6188,99.24,Nan,NaN,Nan
9.6080034,0.8619,8.118,9.6486,98.454,Nan,NaN,Nan
9.9958068,0.8619,8.118,9.6486,97.83,Nan,NaN,Nan
10.3852711,0.8619,8.118,9.6113,97.494,Nan,NaN,Nan
10.7740328,0.8619,8.118,9.5666,97.368,Nan,NaN,Nan
11.1644906,0.8619,8.118,9.5368,97.434,Nan,NaN,Nan
11.5530357,0.8619,8.118,9.5144,97.56,Nan,NaN,Nan
11.9408943,0.8619,8.118,9.5442,97.698,Nan,NaN,Nan
12.3301162,0.8619,8.118,9.5890,97.734,Nan,NaN,Nan
12.7187069,0.8619,8.124,9.6709,97.704,Nan,NaN,Nan
13.1099628,0.8619,8.124,9.7678,97.548,Nan,NaN,Nan
13.4995411,0.8619,8.124,9.8795,97.314,Nan,NaN,Nan
13.8895357,0.8619,8.124,9.9764,97.086,Nan,NaN,Nan
14.2766247,0.8619,8.124,10.0658,96.762,Nan,NaN,Nan
14.6639477,0.8618,8.124,10.1254,96.426,Nan,NaN,Nan
15.0510605,0.8618,8.124,10.1328,96.15,Nan,NaN,Nan
15.439281,0.8618,8.118,10.1254,96.012,Nan,NaN,Nan
15.8280207,0.8618,8.118,10.0881,96.066,Nan,NaN,Nan
16.2179238,0.8618,8.118,10.0658,96.312,Nan,NaN,Nan
16.6086179,0.8618,8.118,10.0434,96.516,Nan,NaN,Nan
16.9976793,0.8618,8.118,10.0285,96.642,Nan,NaN,Nan
17.3864498,0.8618,8.118,10.0062,96.696,Nan,NaN,Nan
17.7776294,0.8618,8.118,9.9838,96.828,Nan,NaN,Nan
18.1697369,0.8618,8.124,9.9689,96.876,Nan,NaN,Nan
18.5589663,0.8618,8.124,9.9466,96.894,Nan,NaN,Nan
18.9497308,0.8618,8.124,9.9317,96.942,Nan,NaN,Nan
19.3400737,0.8618,8.124,9.8944,97.152,Nan,NaN,Nan
19.7302756,0.8618,8.124,9.8795,97.44,Nan,NaN,Nan
20.1201448,0.8618,8.124,9.8721,97.68,Nan,NaN,Nan
20.5097088,0.8618,8.124,9.8721,97.722,Nan,NaN,Nan
20.899007,0.8618,8.124,9.8795,97.56,Nan,NaN,Nan
21.2881201,0.8618,8.124,9.8870,97.194,Nan,NaN,Nan
21.6786043,0.8618,8.124,9.9168,96.906,Nan,NaN,Nan
22.0689236,0.8618,8.124,9.9391,96.732,Nan,NaN,Nan
22.456806,0.8618,8.124,9.9540,96.762,Nan,NaN,Nan
22.8441184,0.8618,8.124,9.9615,97.032,Nan,NaN,Nan
23.2332806,0.8618,8.124,9.9540,97.656,Nan,NaN,Nan
23.6247713,0.8618,8.124,9.9391,98.4,Nan,NaN,Nan
24.0139657,0.8618,8.124,9.9168,99.132,Nan,NaN,Nan
24.4041757,0.8618,8.124,9.8721,99.69,Nan,NaN,Nan
24.7944827,0.8618,8.124,9.8125,100.02,Nan,NaN,Nan
25.1844483,0.8618,8.124,9.7529,100.05,Nan,NaN,Nan
25.5716261,0.8618,8.124,9.6858,99.876,Nan,NaN,Nan
25.963849,0.8618,8.124,9.6188,99.588,Nan,NaN,Nan
26.352082,0.8618,8.124,9.5592,99.354,Nan,NaN,Nan
26.7402594,0.8619,8.124,9.5070,99.324,Nan,NaN,Nan
27.1302998,0.8618,8.124,9.4698,99.522,Nan,NaN,Nan
27.5182,0.8618,8.124,9.4399,99.834,Nan,NaN,Nan
27.90969,0.8618,8.124,9.4325,100.122,Nan,NaN,Nan
28.2988688,0.8618,8.124,9.4548,100.176,Nan,NaN,Nan
28.6870152,0.8618,8.124,9.4921,99.984,Nan,NaN,Nan
29.075664,0.8618,8.124,9.5070,99.882,Nan,NaN,Nan
29.46666,0.8618,8.124,9.5219,99.996,Nan,NaN,Nan
29.8570211,0.8618,8.124,9.5368,100.344,Nan,NaN,Nan
30.247818,0.8618,8.124,9.5442,100.794,Nan,NaN,Nan
30.6388721,0.8618,8.124,9.5368,101.238,Nan,NaN,Nan
31.0279278,0.8618,8.124,9.5294,101.616,Nan,NaN,Nan
31.4180552,0.8618,8.124,9.5219,101.916,Nan,NaN,Nan
31.8084312,0.8618,8.124,9.5294,102.114,Nan,NaN,Nan
32.1978733,0.8618,8.124,9.5442,102.204,Nan,NaN,Nan
32.5876134,0.8618,8.124,9.5666,102.168,Nan,NaN,Nan
32.9777646,0.8618,8.124,9.5890,102,Nan,NaN,Nan
33.3681108,0.8618,8.124,9.5666,101.742,Nan,NaN,Nan
33.7585997,0.8618,8.124,9.5070,101.538,Nan,NaN,Nan
34.1509287,0.8618,8.124,9.4325,101.4,Nan,NaN,Nan
34.5433547,0.8618,8.124,9.3282,101.232,Nan,NaN,Nan
34.9325057,0.8618,8.124,9.2090,100.998,Nan,NaN,Nan
35.3228322,0.8618,8.124,9.0674,100.704,Nan,NaN,Nan
