Time (s),I_magnet (A),theta_magnet (Degrees),V_xy (uV),theta_xy (Degrees),I_xx (uA),V_xx (V),R_xx (kOhms)
0.1657732,0.8624,8.154,9.7454,98.544,Nan,NaN,Nan
0.5533252,0.8624,8.154,9.7454,98.532,Nan,NaN,Nan
0.9413795,0.8624,8.154,9.7752,98.502,Nan,NaN,Nan
1.3282403,0.8624,8.154,9.8050,98.568,Nan,NaN,Nan
1.7170611,0.8624,8.154,9.8646,98.814,Nan,NaN,Nan
2.1073838,0.8624,8.154,9.9540,99.024,Nan,NaN,Nan
2.5035008,0.8624,8.154,10.0136,98.976,Nan,NaN,Nan
2.8928537,0.8624,8.154,10.0434,98.88,Nan,NaN,Nan
3.2807292,0.8624,8.154,10.0136,98.712,Nan,NaN,Nan
3.6692721,0.8624,8.154,9.9838,98.55,Nan,NaN,Nan
4.057771,0.8624,8.154,9.9242,98.484,Nan,NaN,Nan
4.4478682,0.8624,8.154,9.9242,98.514,Nan,NaN,Nan
4.8378573,0.8624,8.154,9.8944,98.718,Nan,NaN,Nan
5.2274719,0.8624,8.154,9.8944,98.904,Nan,NaN,Nan
5.61476,0.8624,8.154,9.8944,99,Nan,NaN,Nan
6.0036022,0.8624,8.154,9.8944,98.904,Nan,NaN,Nan
6.3942767,0.8624,8.154,9.8944,98.796,Nan,NaN,Nan
6.7849593,0.8624,8.154,9.8944,98.892,Nan,NaN,Nan
7.171159,0.8624,8.154,9.9242,99.054,Nan,NaN,Nan
7.5610984,0.8624,8.154,9.9540,99.414,Nan,NaN,Nan
7.9526687,0.8624,8.154,10.0136,99.774,Nan,NaN,Nan
8.3410799,0.8624,8.154,10.0136,100.242,Nan,NaN,Nan
8.7315136,0.8624,8.154,10.0136,100.938,Nan,NaN,Nan
9.1219106,0.8624,8.154,9.9838,101.538,Nan,NaN,Nan
9.5149517,0.8624,8.154,9.9838,102.138,Nan,NaN,Nan
9.9045991,0.8624,8.154,10.0136,102.396,Nan,NaN,Nan
10.2956912,0.8624,8.154,10.0136,102.372,Nan,NaN,Nan
10.6870042,0.8624,8.154,10.0434,102.24,Nan,NaN,Nan
11.0775763,0.8624,8.154,10.0732,102.018,Nan,NaN,Nan
11.4660667,0.8624,8.154,10.1030,101.658,Nan,NaN,Nan
11.8561083,0.8624,8.154,10.1627,101.238,Nan,NaN,Nan
12.2466723,0.8624,8.154,10.1925,100.704,Nan,NaN,Nan
12.6376694,0.8624,8.154,10.2223,100.398,Nan,NaN,Nan
13.0278622,0.8624,8.154,10.2521,100.194,Nan,NaN,Nan
13.4180673,0.8624,8.154,10.2521,100.104,Nan,NaN,Nan
13.8063559,0.8624,8.154,10.2223,100.14,Nan,NaN,Nan
14.1957259,0.8624,8.154,10.1925,100.08,Nan,NaN,Nan
14.5863864,0.8624,8.154,10.1627,100.002,Nan,NaN,Nan
14.9756594,0.8624,8.154,10.1627,99.912,Nan,NaN,Nan
15.3654279,0.8624,8.154,10.1627,99.804,Nan,NaN,Nan
15.7554028,0.8624,8.154,10.1925,99.786,Nan,NaN,Nan
16.1478883,0.8624,8.154,10.2223,99.738,Nan,NaN,Nan
16.5378576,0.8624,8.154,10.2521,99.63,Nan,NaN,Nan
16.9270286,0.8624,8.154,10.2521,99.6,Nan,NaN,Nan
17.3155017,0.8624,8.154,10.2819,99.618,Nan,NaN,Nan
17.7060184,0.8624,8.154,10.2819,99.816,Nan,NaN,Nan
18.0957433,0.8624,8.154,10.2223,100.032,Nan,NaN,Nan
18.4875543,0.8624,8.154,10.1925,100.356,Nan,NaN,Nan
18.8785758,0.8624,8.154,10.1627,100.884,Nan,NaN,Nan
19.2684651,0.8624,8.154,10.1030,101.4,Nan,NaN,Nan
19.6584014,0.8624,8.154,10.1030,101.904,Nan,NaN,Nan
20.0497965,0.8624,8.154,10.0732,102.312,Nan,NaN,Nan
20.4408853,0.8624,8.154,10.0434,102.63,Nan,NaN,Nan
20.8329936,0.8624,8.154,10.0136,102.972,Nan,NaN,Nan
21.2227386,0.8624,8.154,10.0136,103.11,Nan,NaN,Nan
21.6152498,0.8624,8.154,9.9540,103.338,Nan,NaN,Nan
22.006687,0.8624,8.154,9.9242,103.476,Nan,NaN,Nan
22.3967357,0.8624,8.154,9.8944,103.5,Nan,NaN,Nan
22.7872836,0.8624,8.154,9.8944,103.524,Nan,NaN,Nan
23.1780572,0.8624,8.154,9.8944,103.404,Nan,NaN,Nan
23.5684467,0.8624,8.154,9.8944,103.008,Nan,NaN,Nan
23.959112,0.8624,8.154,9.8944,102.402,Nan,NaN,Nan
24.348025,0.8624,8.154,9.8944,101.52,Nan,NaN,Nan
24.738783,0.8624,8.154,9.8944,100.554,Nan,NaN,Nan
25.1275564,0.8624,8.154,9.8944,99.606,Nan,NaN,Nan
25.5173816,0.8624,8.154,9.8646,98.856,Nan,NaN,Nan
25.9122609,0.8624,8.154,9.8050,98.298,Nan,NaN,Nan
26.3023397,0.8624,8.154,9.7752,98.022,Nan,NaN,Nan
26.6916056,0.8624,8.154,9.7752,98.034,Nan,NaN,Nan
27.0815367,0.8624,8.154,9.7752,97.938,Nan,NaN,Nan
27.4715803,0.8624,8.154,9.7752,97.938,Nan,NaN,Nan
27.8627402,0.8624,8.154,9.7752,97.824,Nan,NaN,Nan
28.2530289,0.8624,8.154,9.7752,97.728,Nan,NaN,Nan
28.6447569,0.8624,8.154,9.7454,97.842,Nan,NaN,Nan
29.03553,0.8624,8.154,9.7454,98.256,Nan,NaN,Nan
29.4246667,0.8624,8.154,9.7454,98.862,Nan,NaN,Nan
29.816255,0.8624,8.154,9.7156,99.366,Nan,NaN,Nan
30.2067232,0.8624,8.154,9.7156,99.864,Nan,NaN,Nan
30.5980368,0.8624,8.154,9.7454,100.524,Nan,NaN,Nan
30.9876692,0.8624,8.154,9.8050,101.028,Nan,NaN,Nan
31.3777137,0.8624,8.154,9.9540,101.364,Nan,NaN,Nan
31.7682995,0.8624,8.154,10.0732,101.31,Nan,NaN,Nan
32.1572939,0.8624,8.154,10.1925,101.184,690.0000,0,0
32.5471784,0.8624,8.154,10.5501,101.832,690.0000,0,0
33.0335763,0.8624,8.154,12.7555,101.418,1000.000,1.7671,1.7671
33.5162613,0.8624,8.154,19.6398,96.072,1000.000,1.7670,1.7670
33.9999432,0.8624,8.154,28.8786,89.94,1000.000,1.7668,1.7668
34.4847676,0.8624,8.154,37.3127,85.536,1000.000,1.7666,1.7666
34.9685223,0.8624,8.154,42.9454,82.392,1000.000,1.7665,1.7665
35.4547555,0.8624,8.154,45.1806,80.166,1000.000,1.7662,1.7662
35.9415333,0.8624,8.154,44.6441,78.336,1000.000,1.7661,1.7661
36.4285828,0.8624,8.154,42.2003,76.638,1000.000,1.7658,1.7658
36.9133048,0.8624,8.154,38.7433,75.102,1000.000,1.7656,1.7656
37.398356,0.8624,8.154,34.9584,73.914,1000.000,1.7653,1.7653
37.8847231,0.8624,8.154,31.2927,73.188,1000.000,1.7651,1.7651
38.3688501,0.8624,8.154,28.0143,72.732,1000.000,1.7649,1.7649
38.8551024,0.8624,8.154,25.2129,71.982,1000.000,1.7646,1.7646
39.3399408,0.8624,8.154,22.7691,70.218,1000.000,1.7644,1.7644
39.8251482,0.8624,8.154,20.5041,67.23,1000.000,1.7641,1.7641
40.3078154,0.8624,8.154,18.3881,63.294,1000.000,1.7639,1.7639
40.7933036,0.8624,8.154,16.4510,58.986,1000.000,1.7637,1.7637
41.2782154,0.8624,8.154,14.7522,55.71,1000.000,1.7634,1.7634
41.763334,0.8624,8.154,13.4409,54.51,1000.000,1.7632,1.7632
42.2487719,0.8624,8.154,12.5170,55.608,1000.000,1.7630,1.7630
42.732812,0.8624,8.154,11.9806,59.244,1000.000,1.7628,1.7628
43.2182797,0.8624,8.154,11.6826,65.088,1000.000,1.7625,1.7625
43.7186934,0.8624,8.154,11.5038,71.436,1000.000,1.7623,1.7623
44.2036243,0.8624,8.154,11.4442,76.674,1000.000,1.7621,1.7621
44.6885689,0.8624,8.154,11.1759,80.172,1000.000,1.7619,1.7619
45.1755584,0.8624,8.154,10.7587,82.83,1000.000,1.7616,1.7616
45.6594993,0.8624,8.154,10.3117,84.588,1000.000,1.7614,1.7614
46.1447322,0.8624,8.154,9.8646,84.834,1000.000,1.7612,1.7612
46.6292832,0.8624,8.154,9.4474,83.49,1000.000,1.7609,1.7609
47.1154049,0.8624,8.154,9.1494,79.818,1000.000,1.7608,1.7608
47.6003575,0.8624,8.154,9.0898,73.452,1000.000,1.7605,1.7605
48.0855675,0.8624,8.154,9.2984,66.402,1000.000,1.7603,1.7603
48.5714617,0.8624,8.154,9.6262,60.618,1000.000,1.7601,1.7601
49.0550011,0.8624,8.154,9.9540,57.42,1000.000,1.7599,1.7599
49.5397678,0.8624,8.154,10.2521,56.388,1000.000,1.7597,1.7597
50.0247902,0.8624,8.154,10.5799,56.412,1000.000,1.7595,1.7595
50.5085771,0.8624,8.154,10.9375,56.31,1000.000,1.7593,1.7593
50.9950646,0.8624,8.154,11.1759,55.104,1000.000,1.7591,1.7591
51.4785284,0.8624,8.154,11.2653,53.586,1000.000,1.7589,1.7589
51.963041,0.8624,8.154,11.2653,52.824,1000.000,1.7587,1.7587
52.4483683,0.8624,8.154,11.1461,53.592,1000.000,1.7585,1.7585
52.9371587,0.8624,8.154,10.9971,55.734,1000.000,1.7582,1.7582
53.4216319,0.8624,8.154,11.0269,58.056,1000.000,1.7581,1.7581
53.9145198,0.8624,8.154,11.1461,59.376,1000.000,1.7579,1.7579
54.400346,0.8624,8.154,11.1461,59.802,1000.000,1.7577,1.7577
54.8872041,0.8624,8.154,11.0567,59.988,1000.000,1.7575,1.7575
55.3741636,0.8624,8.154,10.8779,60.288,1000.000,1.7573,1.7573
55.8599999,0.8624,8.154,10.6693,60.624,1000.000,1.7571,1.7571
56.3459551,0.8624,8.154,10.4011,60.426,1000.000,1.7570,1.7570
56.8298299,0.8624,8.154,10.1627,59.346,1000.000,1.7568,1.7568
57.3162351,0.8624,8.154,10.0434,57.972,1000.000,1.7566,1.7566
57.8003344,0.8624,8.154,10.0434,58.128,1000.000,1.7564,1.7564
58.2861331,0.8624,8.154,10.2223,60.108,1000.000,1.7562,1.7562
58.7698337,0.8624,8.154,10.4607,62.622,1000.000,1.7560,1.7560
59.2545922,0.8624,8.154,10.7289,64.902,1000.000,1.7559,1.7559
59.7391202,0.8624,8.154,10.9971,66.708,1000.000,1.7557,1.7557
60.2222174,0.8624,8.154,11.3845,68.646,1000.000,1.7555,1.7555
60.7061802,0.8624,8.154,11.8614,71.136,1000.000,1.7554,1.7554
61.1910029,0.8624,8.154,12.3680,74.256,1000.000,1.7551,1.7551
61.6765687,0.8624,8.154,12.8747,77.376,1000.000,1.7550,1.7550
62.1601968,0.8624,8.154,13.2621,79.986,1000.000,1.7548,1.7548
62.6457936,0.8624,8.154,13.4111,80.868,1000.000,1.7546,1.7546
63.1304317,0.8624,8.154,13.2919,79.44,1000.000,1.7544,1.7544
63.6208829,0.8624,8.154,12.9641,76.308,1000.000,1.7543,1.7543
64.1047066,0.8624,8.154,12.4872,72.828,1000.000,1.7541,1.7541
64.5894035,0.8624,8.154,12.0104,69.744,1000.000,1.7540,1.7540
65.074403,0.8624,8.154,11.5336,67.902,1000.000,1.7538,1.7538
65.5609699,0.8624,8.154,11.1163,67.14,1000.000,1.7536,1.7536
66.0486852,0.8624,8.154,10.7289,66.366,1000.000,1.7535,1.7535
66.53477,0.8624,8.154,10.2223,65.076,1000.000,1.7533,1.7533
67.0187934,0.8624,8.154,9.8646,63.828,1000.000,1.7532,1.7532
67.502841,0.8624,8.154,9.7156,62.292,1000.000,1.7530,1.7530
67.9878024,0.8624,8.154,9.8050,60.228,1000.000,1.7529,1.7529
68.4729619,0.8624,8.154,10.1627,58.224,1000.000,1.7527,1.7527
68.9594163,0.8624,8.154,10.5799,56.76,1000.000,1.7525,1.7525
69.4447944,0.8624,8.154,10.7885,56.136,1000.000,1.7524,1.7524
69.930708,0.8624,8.154,10.6991,56.31,1000.000,1.7522,1.7522
70.415581,0.8624,8.154,10.3713,56.646,1000.000,1.7520,1.7520
70.8999393,0.8624,8.154,10.1925,56.466,1000.000,1.7519,1.7519
71.3847719,0.8624,8.154,10.3117,55.566,1000.000,1.7518,1.7518
71.8697974,0.8624,8.154,10.4905,54.348,1000.000,1.7516,1.7516
72.3536092,0.8624,8.154,10.5501,54.18,1000.000,1.7515,1.7515
72.8386697,0.8624,8.154,10.6097,55.512,1000.000,1.7513,1.7513
73.3255833,0.8624,8.154,10.9375,57.534,1000.000,1.7512,1.7512
73.8085396,0.8624,8.154,11.5038,58.992,1000.000,1.7510,1.7510
74.2925789,0.8624,8.154,12.1892,59.34,1000.000,1.7509,1.7509
74.7787558,0.8624,8.154,12.8747,58.998,1000.000,1.7507,1.7507
75.2624303,0.8624,8.154,13.5601,58.362,1000.000,1.7506,1.7506
75.7466758,0.8624,8.154,14.0966,57.318,1000.000,1.7504,1.7504
76.2336974,0.8624,8.154,14.3648,55.686,1000.000,1.7503,1.7503
76.7169253,0.8624,8.154,14.1264,53.688,1000.000,1.7502,1.7502
77.2020677,0.8624,8.154,13.5303,51.864,1000.000,1.7501,1.7501
77.6859779,0.8624,8.154,12.8151,50.85,1000.000,1.7499,1.7499
78.1703133,0.8624,8.154,12.0700,50.94,1000.000,1.7498,1.7498
78.6549307,0.8624,8.154,11.1759,53.094,1000.000,1.7496,1.7496
79.1409467,0.8624,8.154,10.3713,57.366,1000.000,1.7495,1.7495
79.6273434,0.8624,8.154,9.9540,61.842,1000.000,1.7493,1.7493
80.1128244,0.8624,8.154,9.7752,64.572,1000.000,1.7492,1.7492
80.5965893,0.8624,8.154,9.7454,64.884,1000.000,1.7491,1.7491
81.0814429,0.8624,8.154,9.6560,63.876,1000.000,1.7489,1.7489
81.5664084,0.8624,8.154,9.5070,63.21,1000.000,1.7488,1.7488
82.053207,0.8624,8.154,9.3878,63.21,1000.000,1.7487,1.7487
82.5381803,0.8624,8.154,9.3282,63.024,1000.000,1.7485,1.7485
83.0228017,0.8624,8.154,9.2090,62.274,1000.000,1.7484,1.7484
83.5057463,0.8624,8.154,9.0302,61.914,1000.000,1.7483,1.7483
83.9914538,0.8624,8.154,8.8216,61.932,1000.000,1.7481,1.7481
84.4778264,0.8624,8.154,8.8216,61.458,1000.000,1.7480,1.7480
84.9640354,0.8624,8.154,9.0600,61.146,1000.000,1.7479,1.7479
85.4508027,0.8624,8.154,9.5070,62.016,1000.000,1.7478,1.7478
85.9348429,0.8624,8.154,10.0136,64.026,1000.000,1.7476,1.7476
86.4203935,0.8624,8.154,10.4309,66.576,1000.000,1.7475,1.7475
86.9060804,0.8624,8.154,10.6097,69.432,1000.000,1.7474,1.7474
